"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","199,444","±2,065"
"    Native:","173,178","±2,797"
"        Born in state of residence","99,598","±2,544"
"        Born in other state in the United States:","67,652","±2,762"
"            Northeast","20,933","±1,593"
"            Midwest","16,342","±1,334"
"            South","22,330","±1,914"
"            West","8,047","±1,302"
"        Born outside the United States:","5,928","±961"
"            Puerto Rico","2,294","±622"
"            U.S. Island Areas","583","±599"
"            Born abroad of American parent(s)","3,051","±504"
"    Foreign-born:","26,266","±1,929"
"        Naturalized U.S. citizen","13,676","±1,341"
"            Europe","1,841","±521"
"            Asia","5,261","±827"
"            Africa","510","±210"
"            Oceania","12","±20"
"            Latin America","5,554","±880"
"            Northern America","498","±282"
"        Not a U.S. citizen","12,590","±1,489"
"            Europe","1,758","±486"
"            Asia","5,651","±705"
"            Africa","1,080","±627"
"            Oceania","67","±57"
"            Latin America","3,729","±918"
"            Northern America","305","±171"
