Year,Estimate_Total,Estimate_Total_Foreign_born,Estimate_Total_Foreign_born_Naturalized_U.S._citizen,Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Africa,Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Asia,Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Latin_America,Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Northern_America,Estimate_Total_Foreign_born_Naturalized_U.S._citizen_Oceania,Estimate_Total_Foreign_born_Not_a_U.S._citizen,Estimate_Total_Foreign_born_Not_a_U.S._citizen_Africa,Estimate_Total_Foreign_born_Not_a_U.S._citizen_Asia,Estimate_Total_Foreign_born_Not_a_U.S._citizen_Europe,Estimate_Total_Foreign_born_Not_a_U.S._citizen_Latin_America,Estimate_Total_Foreign_born_Not_a_U.S._citizen_Northern_America,Estimate_Total_Foreign_born_Not_a_U.S._citizen_Oceania,Estimate_Total_Native,Estimate_Total_Native_Born_in_other_state_in_the_United_States,Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest,Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast,Estimate_Total_Native_Born_in_other_state_in_the_United_States_South,Estimate_Total_Native_Born_in_other_state_in_the_United_States_West,Estimate_Total_Native_Born_in_state_of_residence,Estimate_Total_Native_Born_outside_the_United_States,Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s),Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico,Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas,Geographic_Area_Name,Geography,Margin_of_Error_Total,Margin_of_Error_Total_Foreign_born,Margin_of_Error_Total_Foreign_born_Naturalized_U.S._citizen,Margin_of_Error_Total_Foreign_born_Naturalized_U.S._citizen_Africa,Margin_of_Error_Total_Foreign_born_Naturalized_U.S._citizen_Asia,Margin_of_Error_Total_Foreign_born_Naturalized_U.S._citizen_Latin_America,Margin_of_Error_Total_Foreign_born_Naturalized_U.S._citizen_Northern_America,Margin_of_Error_Total_Foreign_born_Naturalized_U.S._citizen_Oceania,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen_Africa,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen_Asia,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen_Europe,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen_Latin_America,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen_Northern_America,Margin_of_Error_Total_Foreign_born_Not_a_U.S._citizen_Oceania,Margin_of_Error_Total_Native,Margin_of_Error_Total_Native_Born_in_other_state_in_the_United_States,Margin_of_Error_Total_Native_Born_in_other_state_in_the_United_States_Midwest,Margin_of_Error_Total_Native_Born_in_other_state_in_the_United_States_Northeast,Margin_of_Error_Total_Native_Born_in_other_state_in_the_United_States_South,Margin_of_Error_Total_Native_Born_in_other_state_in_the_United_States_West,Margin_of_Error_Total_Native_Born_in_state_of_residence,Margin_of_Error_Total_Native_Born_outside_the_United_States,Margin_of_Error_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s),Margin_of_Error_Total_Native_Born_outside_the_United_States_Puerto_Rico,Margin_of_Error_Total_Native_Born_outside_the_United_States_U.S._Island_Areas,NA
2014,174359,20030,8788,NA,NA,NA,NA,NA,11242,NA,NA,NA,NA,NA,NA,154329,61730,14933,19320,21079,6398,89094,3505,2013,1306,186,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,1312,1074,804,NA,NA,NA,NA,NA,937,NA,NA,NA,NA,NA,NA,1627,1563,992,938,1236,619,1687,537,368,373,102,NA
2015,175982,20483,8574,435,2776,3549,184,39,1591,483,5400,1205,4280,431,110,155499,61809,15309,19302,21067,6131,90120,3570,2263,1131,176,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,1316,1218,773,188,529,461,82,29,335,256,823,285,726,154,72,1660,1890,1026,1091,1183,720,1888,425,335,261,115,NA
2016,177207,20638,9175,491,3287,3685,172,47,1493,527,5461,1067,3931,365,112,156569,61853,15276,20207,20437,5933,90551,4165,2473,1521,171,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,1390,1401,853,210,457,539,90,36,367,314,729,258,551,129,70,2041,2013,928,1304,1167,702,2577,539,382,338,93,NA
2017,179226,20427,9010,472,3130,3704,182,20,1502,535,5890,1073,3560,262,97,158799,62489,15641,19997,20791,6060,92014,4296,2521,1637,138,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,1518,1249,869,213,409,591,85,21,389,311,764,238,595,111,63,1798,1698,1008,988,1312,658,2115,629,444,466,112,NA
2018,181656,21153,9670,490,3640,3833,186,20,1501,381,5740,1156,3815,252,139,160503,62383,16027,19669,20549,6138,93965,4155,2287,1718,150,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,1710,1234,766,217,499,445,89,19,336,192,660,312,699,116,79,1977,2107,1101,1217,1357,587,2302,497,353,345,93,NA
2019,181834,21391,9642,544,3668,3632,149,37,1612,399,6066,996,3892,301,95,160443,62289,16191,19663,20275,6160,93901,4253,2413,1724,116,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,1969,1471,979,203,605,554,86,30,345,182,855,213,792,134,61,2032,2122,1046,1258,1493,742,2580,584,377,403,74,NA
2020,184166,22885,11107,732,4071,4094,470,29,1711,427,6041,1024,3935,272,79,161281,61999,16444,19710,20040,5805,95022,4260,2229,1912,119,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,2148,1371,1116,320,741,543,278,21,406,197,810,266,735,197,55,2104,2154,1394,1279,1503,687,2592,627,399,533,77,NA
2021,190066,22948,11404,627,4141,4334,420,27,1855,392,6000,1212,3549,337,54,167118,63444,16814,20060,20193,6377,98227,5447,2418,2381,648,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,2714,1580,1126,243,731,699,273,23,416,239,814,311,784,212,38,2902,2098,1298,1291,1640,757,2683,1193,499,583,744,NA
2022,193547,23547,11922,523,4773,4232,454,42,1898,408,5771,1570,3336,468,72,170000,64825,16736,20114,21212,6763,99562,5613,2633,2387,593,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,2466,1605,1284,231,738,678,279,39,498,186,734,490,697,242,54,2739,2373,1407,1396,1666,682,2767,831,454,548,672,NA
2023,195627,24881,13039,544,4783,5136,431,44,2101,962,5444,1506,3455,445,30,170746,66353,17099,20271,21876,7107,98158,6235,2864,2743,628,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,2254,1777,1249,232,630,780,264,38,547,594,833,420,736,278,40,2945,2537,1492,1292,1660,928,2988,1171,501,650,724,NA
2024,199444,26266,13676,510,5261,5554,498,12,1841,1080,5651,1758,3729,305,67,173178,67652,16342,20933,22330,8047,99598,5928,3051,2294,583,"Gainesville CCD, Alachua County, Florida",0600000US1200191248,2065,1929,1341,210,827,880,282,20,521,627,705,486,918,171,57,2797,2762,1334,1593,1914,1302,2544,961,504,622,599,NA
