"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Native_Born_in_state_of_residence","Estimate_Total_Native_Born_in_other_state_in_the_United_States","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Northeast","Estimate_Total_Native_Born_in_other_state_in_the_United_States_Midwest","Estimate_Total_Native_Born_in_other_state_in_the_United_States_South","Estimate_Total_Native_Born_in_other_state_in_the_United_States_West","Estimate_Total_Native_Born_outside_the_United_States","Estimate_Total_Native_Born_outside_the_United_States_Puerto_Rico","Estimate_Total_Native_Born_outside_the_United_States_U.S._Island_Areas","Estimate_Total_Native_Born_outside_the_United_States_Born_abroad_of_American_parent(s)","Estimate_Total_Foreign_born","Estimate_Total_Foreign_born_Naturalized_U.S._citizen","Estimate_Total_Foreign_born_Not_a_U.S._citizen","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","7545","6923","5070","1780","661","479","378","262","73","15","0","58","622","154","468",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","3401","3366","1907","1428","473","241","486","228","31","8","0","23","35","24","11",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2475","2298","1517","770","181","198","295","96","11","0","0","11","177","136","41",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","5785","5556","3767","1709","368","286","767","288","80","80","0","0","229","29","200",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","5247","4869","2926","1921","630","394","710","187","22","0","22","0","378","173","205",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","4328","4202","3486","672","189","103","366","14","44","0","21","23","126","50","76",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","6326","6136","4532","1512","247","177","935","153","92","0","0","92","190","171","19",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2105","1795","913","852","260","244","216","132","30","19","0","11","310","64","246",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3514","2603","1520","974","246","145","423","160","109","7","60","42","911","185","726",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1207","1063","504","517","137","147","162","71","42","11","0","31","144","20","124",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4209","3498","2204","1210","469","195","458","88","84","29","0","55","711","121","590",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6861","6330","3704","2415","1086","368","720","241","211","61","0","150","531","307","224",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","6471","5877","3341","2377","744","639","701","293","159","39","0","120","594","284","310",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","6237","5587","2399","3066","820","984","892","370","122","10","0","112","650","391","259",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","2804","2290","1122","1028","352","366","272","38","140","34","0","106","514","365","149",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7018","6159","3488","2564","725","676","804","359","107","18","0","89","859","500","359",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3713","3260","1533","1646","567","359","611","109","81","23","0","58","453","205","248",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","4100","4017","2773","1143","315","230","445","153","101","72","0","29","83","48","35",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1087","805","417","361","100","84","144","33","27","0","2","25","282","160","122",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","5064","4089","2696","1162","527","248","229","158","231","37","61","133","975","210","765",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","1774","1386","875","455","109","97","221","28","56","19","0","37","388","139","249",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","5160","4276","2546","1550","407","457","470","216","180","88","9","83","884","497","387",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2529","1680","935","740","279","80","239","142","5","0","0","5","849","127","722",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2189","1738","922","751","219","128","290","114","65","0","0","65","451","119","332",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","3745","3157","2083","1037","281","215","477","64","37","17","0","20","588","247","341",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1606","1544","982","549","129","125","269","26","13","0","0","13","62","54","8",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7890","6929","3797","2877","889","828","733","427","255","205","0","50","961","316","645",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","6352","5558","2672","2845","907","856","1032","50","41","41","0","0","794","326","468",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5252","4657","2144","2456","828","683","599","346","57","0","0","57","595","356","239",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","6817","6572","3676","2800","990","775","903","132","96","0","0","96","245","215","30",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2660","2561","1807","721","232","100","275","114","33","22","0","11","99","62","37",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","6375","5897","2935","2749","611","780","959","399","213","109","0","104","478","331","147",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1696","1590","893","684","204","176","191","113","13","0","0","13","106","86","20",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","8907","8481","4681","3659","1121","933","1355","250","141","12","0","129","426","205","221",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","7025","5392","2377","2843","1004","449","1033","357","172","97","0","75","1633","826","807",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","2998","2465","1195","1233","335","457","348","93","37","15","0","22","533","239","294",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","3187","2707","1166","1451","333","556","373","189","90","39","0","51","480","399","81",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","3189","3086","2092","982","257","175","512","38","12","0","0","12","103","13","90",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2860","2792","1808","973","328","185","298","162","11","0","0","11","68","57","11",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4031","3847","2351","1377","349","457","464","107","119","30","47","42","184","143","41",NA
