"","Year","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Europe","Estimate_Total_Europe_Northern_Europe","Estimate_Total_Europe_Northern_Europe_United_Kingdom_inc_Crown_Dependencies","Estimate_Total_Europe_Northern_Europe_United_Kingdom_inc_Crown_Dependencies_United_Kingdom_excluding_England_and_Scotland","Estimate_Total_Europe_Northern_Europe_United_Kingdom_inc_Crown_Dependencies_England","Estimate_Total_Europe_Northern_Europe_United_Kingdom_inc_Crown_Dependencies_Scotland","Estimate_Total_Europe_Northern_Europe_Ireland","Estimate_Total_Europe_Northern_Europe_Denmark","Estimate_Total_Europe_Northern_Europe_Norway","Estimate_Total_Europe_Northern_Europe_Sweden","Estimate_Total_Europe_Northern_Europe_Other_Northern_Europe","Estimate_Total_Europe_Western_Europe","Estimate_Total_Europe_Western_Europe_Austria","Estimate_Total_Europe_Western_Europe_Belgium","Estimate_Total_Europe_Western_Europe_France","Estimate_Total_Europe_Western_Europe_Germany","Estimate_Total_Europe_Western_Europe_Netherlands","Estimate_Total_Europe_Western_Europe_Switzerland","Estimate_Total_Europe_Western_Europe_Other_Western_Europe","Estimate_Total_Europe_Southern_Europe","Estimate_Total_Europe_Southern_Europe_Greece","Estimate_Total_Europe_Southern_Europe_Italy","Estimate_Total_Europe_Southern_Europe_Portugal","Estimate_Total_Europe_Southern_Europe_Portugal_Azores_Islands","Estimate_Total_Europe_Southern_Europe_Spain","Estimate_Total_Europe_Southern_Europe_Other_Southern_Europe","Estimate_Total_Europe_Eastern_Europe","Estimate_Total_Europe_Eastern_Europe_Albania","Estimate_Total_Europe_Eastern_Europe_Belarus","Estimate_Total_Europe_Eastern_Europe_Bulgaria","Estimate_Total_Europe_Eastern_Europe_Croatia","Estimate_Total_Europe_Eastern_Europe_Czechoslovakia_includes_Czech_Republic_and_Slovakia","Estimate_Total_Europe_Eastern_Europe_Hungary","Estimate_Total_Europe_Eastern_Europe_Latvia","Estimate_Total_Europe_Eastern_Europe_Lithuania","Estimate_Total_Europe_Eastern_Europe_Macedonia","Estimate_Total_Europe_Eastern_Europe_Moldova","Estimate_Total_Europe_Eastern_Europe_Poland","Estimate_Total_Europe_Eastern_Europe_Romania","Estimate_Total_Europe_Eastern_Europe_Russia","Estimate_Total_Europe_Eastern_Europe_Ukraine","Estimate_Total_Europe_Eastern_Europe_Bosnia_and_Herzegovina","Estimate_Total_Europe_Eastern_Europe_Serbia","Estimate_Total_Europe_Eastern_Europe_Other_Eastern_Europe","Estimate_Total_Europe_Europe_n_e_c","Estimate_Total_Asia","Estimate_Total_Asia_Eastern_Asia","Estimate_Total_Asia_Eastern_Asia_China","Estimate_Total_Asia_Eastern_Asia_China_China_excluding_Hong_Kong_and_Taiwan","Estimate_Total_Asia_Eastern_Asia_China_Hong_Kong","Estimate_Total_Asia_Eastern_Asia_China_Taiwan","Estimate_Total_Asia_Eastern_Asia_Japan","Estimate_Total_Asia_Eastern_Asia_Korea","Estimate_Total_Asia_Eastern_Asia_Other_Eastern_Asia","Estimate_Total_Asia_South_Central_Asia","Estimate_Total_Asia_South_Central_Asia_Afghanistan","Estimate_Total_Asia_South_Central_Asia_Bangladesh","Estimate_Total_Asia_South_Central_Asia_India","Estimate_Total_Asia_South_Central_Asia_Iran","Estimate_Total_Asia_South_Central_Asia_Kazakhstan","Estimate_Total_Asia_South_Central_Asia_Nepal","Estimate_Total_Asia_South_Central_Asia_Pakistan","Estimate_Total_Asia_South_Central_Asia_Sri_Lanka","Estimate_Total_Asia_South_Central_Asia_Uzbekistan","Estimate_Total_Asia_South_Central_Asia_Other_South_Central_Asia","Estimate_Total_Asia_South_Eastern_Asia","Estimate_Total_Asia_South_Eastern_Asia_Cambodia","Estimate_Total_Asia_South_Eastern_Asia_Indonesia","Estimate_Total_Asia_South_Eastern_Asia_Laos","Estimate_Total_Asia_South_Eastern_Asia_Malaysia","Estimate_Total_Asia_South_Eastern_Asia_Burma","Estimate_Total_Asia_South_Eastern_Asia_Philippines","Estimate_Total_Asia_South_Eastern_Asia_Singapore","Estimate_Total_Asia_South_Eastern_Asia_Thailand","Estimate_Total_Asia_South_Eastern_Asia_Vietnam","Estimate_Total_Asia_South_Eastern_Asia_Other_South_Eastern_Asia","Estimate_Total_Asia_Western_Asia","Estimate_Total_Asia_Western_Asia_Iraq","Estimate_Total_Asia_Western_Asia_Israel","Estimate_Total_Asia_Western_Asia_Jordan","Estimate_Total_Asia_Western_Asia_Kuwait","Estimate_Total_Asia_Western_Asia_Lebanon","Estimate_Total_Asia_Western_Asia_Saudi_Arabia","Estimate_Total_Asia_Western_Asia_Syria","Estimate_Total_Asia_Western_Asia_Yemen","Estimate_Total_Asia_Western_Asia_Turkey","Estimate_Total_Asia_Western_Asia_Armenia","Estimate_Total_Asia_Western_Asia_Other_Western_Asia","Estimate_Total_Asia_Asia_n_e_c","Estimate_Total_Africa","Estimate_Total_Africa_Eastern_Africa","Estimate_Total_Africa_Eastern_Africa_Eritrea","Estimate_Total_Africa_Eastern_Africa_Ethiopia","Estimate_Total_Africa_Eastern_Africa_Kenya","Estimate_Total_Africa_Eastern_Africa_Other_Eastern_Africa","Estimate_Total_Africa_Middle_Africa","Estimate_Total_Africa_Middle_Africa_Cameroon","Estimate_Total_Africa_Middle_Africa_Other_Middle_Africa","Estimate_Total_Africa_Northern_Africa","Estimate_Total_Africa_Northern_Africa_Egypt","Estimate_Total_Africa_Northern_Africa_Morocco","Estimate_Total_Africa_Northern_Africa_Sudan","Estimate_Total_Africa_Northern_Africa_Other_Northern_Africa","Estimate_Total_Africa_Southern_Africa","Estimate_Total_Africa_Southern_Africa_South_Africa","Estimate_Total_Africa_Southern_Africa_Other_Southern_Africa","Estimate_Total_Africa_Western_Africa","Estimate_Total_Africa_Western_Africa_Cabo_Verde","Estimate_Total_Africa_Western_Africa_Ghana","Estimate_Total_Africa_Western_Africa_Liberia","Estimate_Total_Africa_Western_Africa_Nigeria","Estimate_Total_Africa_Western_Africa_Sierra_Leone","Estimate_Total_Africa_Western_Africa_Other_Western_Africa","Estimate_Total_Africa_Africa_n_e_c","Estimate_Total_Oceania","Estimate_Total_Oceania_Australia_and_New_Zealand_Subregion","Estimate_Total_Oceania_Australia_and_New_Zealand_Subregion_Australia","Estimate_Total_Oceania_Australia_and_New_Zealand_Subregion_Other_Australian_and_New_Zealand_Subregion","Estimate_Total_Oceania_Fiji","Estimate_Total_Oceania_Oceania_n_e_c","Estimate_Total_Americas","Estimate_Total_Americas_Latin_America","Estimate_Total_Americas_Latin_America_Caribbean","Estimate_Total_Americas_Latin_America_Caribbean_Bahamas","Estimate_Total_Americas_Latin_America_Caribbean_Barbados","Estimate_Total_Americas_Latin_America_Caribbean_Cuba","Estimate_Total_Americas_Latin_America_Caribbean_Dominica","Estimate_Total_Americas_Latin_America_Caribbean_Dominican_Republic","Estimate_Total_Americas_Latin_America_Caribbean_Grenada","Estimate_Total_Americas_Latin_America_Caribbean_Haiti","Estimate_Total_Americas_Latin_America_Caribbean_Jamaica","Estimate_Total_Americas_Latin_America_Caribbean_St_Vincent_and_the_Grenadines","Estimate_Total_Americas_Latin_America_Caribbean_Trinidad_and_Tobago","Estimate_Total_Americas_Latin_America_Caribbean_West_Indies","Estimate_Total_Americas_Latin_America_Caribbean_Other_Caribbean","Estimate_Total_Americas_Latin_America_Central_America","Estimate_Total_Americas_Latin_America_Central_America_Mexico","Estimate_Total_Americas_Latin_America_Central_America_Belize","Estimate_Total_Americas_Latin_America_Central_America_Costa_Rica","Estimate_Total_Americas_Latin_America_Central_America_El_Salvador","Estimate_Total_Americas_Latin_America_Central_America_Guatemala","Estimate_Total_Americas_Latin_America_Central_America_Honduras","Estimate_Total_Americas_Latin_America_Central_America_Nicaragua","Estimate_Total_Americas_Latin_America_Central_America_Panama","Estimate_Total_Americas_Latin_America_Central_America_Other_Central_America","Estimate_Total_Americas_Latin_America_South_America","Estimate_Total_Americas_Latin_America_South_America_Argentina","Estimate_Total_Americas_Latin_America_South_America_Bolivia","Estimate_Total_Americas_Latin_America_South_America_Brazil","Estimate_Total_Americas_Latin_America_South_America_Chile","Estimate_Total_Americas_Latin_America_South_America_Colombia","Estimate_Total_Americas_Latin_America_South_America_Ecuador","Estimate_Total_Americas_Latin_America_South_America_Guyana","Estimate_Total_Americas_Latin_America_South_America_Peru","Estimate_Total_Americas_Latin_America_South_America_Uruguay","Estimate_Total_Americas_Latin_America_South_America_Venezuela","Estimate_Total_Americas_Latin_America_South_America_Other_South_America","Estimate_Total_Americas_Northern_America","Estimate_Total_Americas_Northern_America_Canada","Estimate_Total_Americas_Northern_America_Other_Northern_America","Estimate_Total_Africa_Eastern_Africa_Somalia","Estimate_Total_Europe_Eastern_Europe_North_Macedonia_Macedonia","Estimate_Total_Africa_Eastern_Africa_Uganda","Estimate_Total_Africa_Eastern_Africa_Zimbabwe","Estimate_Total_Africa_Middle_Africa_Congo","Estimate_Total_Africa_Middle_Africa_Democratic_Republic_of_Congo_Zaire","Estimate_Total_Africa_Western_Africa_Senegal","Estimate_Total_Oceania_Micronesia","Estimate_Total_Asia_South_Central_Asia_Bhutan","Estimate_Total_Asia_South_Eastern_Asia_Burma_Myanmar","Estimate_Total_Asia_Western_Asia_Azerbaijan","Estimate_Total_Asia_Western_Asia_Georgia","Estimate_Total_Asia_Western_Asia_United_Arab_Emirates","Estimate_Total_Africa_Eastern_Africa_Tanzania","Estimate_Total_Africa_Northern_Africa_Algeria","Estimate_Total_Africa_Western_Africa_Ivory_Coast","Estimate_Total_Africa_Western_Africa_Togo","Estimate_Total_Oceania_Marshall_Islands","Estimate_Total_Americas_Latin_America_Caribbean_St_Lucia"
"1",2014,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",20030,2927,818,624,242,257,125,69,18,11,82,14,636,65,25,70,403,61,0,12,214,13,42,0,0,159,0,1259,56,0,128,0,64,38,21,9,0,25,80,148,329,136,181,7,37,0,7531,2843,1971,1642,10,319,92,780,0,2484,7,229,1543,239,0,76,297,11,69,13,1565,26,19,5,36,25,697,0,137,620,0,614,0,140,88,34,15,178,0,20,87,0,52,25,923,320,0,24,110,186,14,14,0,118,40,59,0,19,90,90,0,347,0,18,0,164,0,165,34,86,86,77,9,0,0,8563,7990,3293,28,5,1161,23,248,14,467,1040,0,176,62,69,1317,785,43,13,47,56,279,34,60,0,3380,189,37,594,192,886,72,242,399,24,716,29,573,573,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2015,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",20483,2796,787,623,270,227,126,28,30,20,71,15,646,69,30,85,371,64,27,0,174,11,38,0,0,125,0,1189,50,0,140,21,44,17,22,16,0,19,86,131,362,137,98,21,25,0,8176,3037,1974,1690,11,273,117,946,0,2789,32,190,1678,204,24,64,516,49,32,0,1739,21,8,0,45,20,948,0,194,503,0,590,0,178,84,22,19,126,0,19,78,0,64,21,918,285,0,42,42,201,18,18,0,137,54,31,0,52,159,145,14,273,0,12,0,149,15,97,46,149,138,114,24,11,0,8444,7829,3350,24,5,1098,21,239,16,536,967,0,314,70,60,1386,812,105,31,25,102,269,18,24,0,3093,213,24,498,48,853,76,106,412,19,787,57,615,615,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2016,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",20638,2560,777,659,312,228,119,10,13,18,61,16,627,24,38,69,373,97,26,0,166,13,65,0,0,88,0,985,32,0,117,21,27,30,12,16,0,34,88,25,355,170,50,8,0,5,8748,3129,2120,1763,38,319,138,871,0,3086,0,276,1842,272,95,69,471,39,22,0,1999,7,7,23,57,8,826,0,203,868,0,529,0,135,64,22,19,114,0,17,88,0,70,5,1018,335,0,62,68,205,16,16,0,101,13,23,0,65,147,133,14,350,0,51,0,160,19,120,69,159,144,118,26,15,0,8153,7616,3086,0,5,937,19,317,22,446,865,0,379,8,88,1221,732,97,39,50,127,106,33,37,0,3309,174,48,579,48,832,102,100,379,38,961,48,537,537,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2017,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",20427,2575,879,775,358,343,74,44,14,10,23,13,631,21,27,98,373,87,25,0,138,7,80,0,0,51,0,923,12,0,119,17,25,18,0,47,0,28,126,24,280,169,48,10,0,4,9020,3681,2472,2154,24,294,227,982,0,2840,0,220,1864,202,79,72,315,41,47,0,2049,19,5,34,63,7,858,0,189,874,0,442,0,144,0,19,17,23,13,18,104,0,104,8,1007,344,0,58,60,226,0,0,0,227,129,39,0,59,79,63,16,281,0,62,0,80,25,114,76,117,110,95,15,7,0,7708,7264,2858,0,4,870,17,207,21,549,810,0,269,14,97,1309,791,89,27,96,96,96,98,16,0,3097,108,77,601,41,781,64,85,302,33,950,55,444,444,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2018,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",21153,2657,747,646,334,239,73,48,15,11,16,11,734,19,44,110,419,116,26,0,161,24,74,5,0,58,0,1010,112,0,55,18,70,28,0,54,0,16,157,24,332,79,54,11,0,5,9380,3646,2609,2281,29,299,118,919,0,3119,0,353,2004,186,73,80,340,49,34,0,2255,18,7,23,77,8,1108,0,186,828,0,353,0,58,0,0,0,64,14,11,107,0,99,7,871,121,0,33,53,35,5,0,5,269,163,51,0,55,92,79,13,310,0,69,0,71,28,142,74,159,146,115,31,6,7,8086,7648,2695,0,5,641,28,273,0,767,689,0,195,17,80,1393,607,75,32,124,286,133,120,16,0,3560,170,103,729,19,839,99,46,305,31,1098,121,438,438,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2019,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",21391,2608,656,607,391,178,38,36,0,13,0,0,736,9,56,135,352,152,32,0,188,25,74,5,0,84,0,1022,117,0,81,19,41,18,0,48,NA,17,193,22,270,145,18,4,29,6,9734,3971,2691,2329,47,315,129,1151,0,3077,0,427,1973,179,83,77,227,76,35,0,2292,15,28,31,48,0,956,0,152,1062,0,394,27,108,10,0,4,90,12,25,69,0,49,0,943,99,0,39,23,0,4,0,0,289,165,62,0,62,130,122,8,359,0,61,0,109,31,158,62,132,81,54,27,9,42,7974,7524,2314,15,0,692,11,35,0,704,524,0,229,15,89,1571,701,111,40,129,305,115,153,17,0,3639,170,14,762,19,764,161,22,281,35,1273,138,450,450,0,0,0,26,11,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",22885,2735,538,493,277,216,0,40,0,5,0,0,720,0,35,136,391,147,11,0,245,18,73,1,0,153,0,1227,119,0,84,0,33,29,6,42,NA,20,181,21,450,117,21,0,104,5,10112,3756,2940,2514,50,376,110,706,0,3755,0,342,2612,593,74,91,1,24,18,0,1916,15,47,33,11,0,867,0,108,835,0,685,15,117,16,0,4,140,74,107,179,0,33,0,1159,253,0,197,34,0,40,36,0,284,195,73,0,16,141,141,0,389,0,44,0,180,0,165,52,108,54,37,17,3,51,8771,8029,2763,11,0,1321,10,94,0,530,301,0,273,21,202,1491,600,9,24,249,320,105,167,17,0,3775,207,10,994,17,694,183,11,150,47,1307,155,742,728,14,0,0,20,2,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2021,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",22948,3067,694,475,228,232,15,159,0,47,11,2,788,0,32,195,410,134,17,0,384,19,66,5,0,294,0,1201,115,0,65,0,34,16,7,51,NA,0,150,0,471,82,13,5,192,0,10141,3688,2581,2314,80,187,110,997,0,3409,0,186,2586,541,0,57,2,25,12,0,2186,10,176,0,13,0,1175,31,96,685,0,807,36,117,55,0,4,115,14,98,334,0,34,51,1019,230,0,143,67,0,32,28,0,271,230,29,0,12,129,129,0,310,0,6,0,116,0,188,47,81,42,22,20,6,33,8640,7883,2776,8,0,1166,15,69,0,606,468,0,238,9,197,1658,600,11,41,203,326,240,226,11,0,3449,202,52,1156,13,757,150,11,164,15,756,173,757,743,14,0,0,15,5,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2022,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",23547,3468,605,346,191,143,12,206,0,41,10,2,989,0,141,235,337,259,17,0,471,16,147,3,0,305,0,1403,282,0,75,0,42,17,35,0,NA,0,76,0,361,185,15,6,309,0,10544,3143,2263,2034,97,132,60,820,0,4039,0,226,2982,617,0,47,149,18,0,0,2300,0,165,0,87,NA,1170,36,83,759,0,931,78,109,70,0,11,248,0,98,303,0,0,131,931,271,0,167,78,0,138,83,0,153,145,8,0,0,147,147,0,180,0,7,0,77,0,96,42,114,35,15,20,15,55,8490,7568,2514,14,0,1179,15,91,0,437,415,0,174,0,178,1356,430,7,39,224,257,210,146,43,0,3698,279,14,1114,32,780,174,15,191,21,888,190,922,908,14,0,0,26,0,3,52,0,0,0,0,9,0,5,0,0,0,0,9,11
"10",2023,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",24881,3607,762,473,180,269,24,186,0,33,10,60,926,0,87,248,392,175,24,0,696,39,323,0,0,334,0,1223,150,0,42,0,6,20,43,0,NA,0,39,0,312,184,17,70,340,0,10227,3160,2339,2049,122,168,116,705,0,3888,0,236,2970,585,0,15,82,0,0,0,2261,0,177,28,90,NA,1262,36,57,611,0,798,72,115,66,8,9,199,0,82,232,0,0,120,1506,611,0,498,113,0,384,100,206,100,71,8,21,0,225,225,0,145,0,10,0,108,0,27,41,74,6,0,6,18,50,9467,8591,2970,12,0,1603,0,85,0,460,488,0,115,0,207,1512,553,8,77,294,180,226,135,39,0,4109,185,38,1033,158,884,276,19,133,22,1342,19,876,862,14,0,0,0,0,13,65,0,0,0,0,10,0,5,0,0,0,0,0,0
"11",2024,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",26266,3599,864,558,273,236,49,181,0,56,11,58,962,0,101,271,413,105,72,0,634,59,344,0,0,231,0,1139,199,0,43,7,4,68,25,0,NA,0,8,0,291,239,2,71,182,0,10912,2936,2119,1878,95,146,118,699,0,4563,0,207,3728,538,0,14,76,0,0,0,2289,0,178,30,78,NA,1511,30,0,429,0,1014,36,80,112,107,12,252,0,81,317,0,0,110,1590,654,0,559,86,0,341,77,182,61,35,8,18,0,174,174,0,319,0,15,0,262,0,42,41,79,58,20,38,0,21,10086,9283,2680,0,0,1613,0,148,21,368,305,0,40,0,185,1600,440,29,188,337,165,181,170,90,0,5003,344,70,1413,223,1105,187,50,183,20,1382,26,803,789,14,0,0,0,0,7,75,0,0,0,33,12,0,5,9,0,0,0,0,0
