"","Year","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Foreign_Born"
"1",2014,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","174359","154329","20030"
"2",2015,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","175982","155499","20483"
"3",2016,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","177207","156569","20638"
"4",2017,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","179226","158799","20427"
"5",2018,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","181656","160503","21153"
"6",2019,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","181834","160443","21391"
"7",2020,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","184166","161281","22885"
"8",2021,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","190066","167118","22948"
"9",2022,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","193547","170000","23547"
"10",2023,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","195627","170746","24881"
"11",2024,"0600000US1200191248","Gainesville CCD, Alachua County, Florida","199444","173178","26266"
