"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Native","Estimate_Total_Foreign-Born","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","7545","6923","622",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","3401","3366","35",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2475","2298","177",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","5785","5556","229",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","5247","4869","378",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","4328","4202","126",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","6326","6136","190",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2105","1795","310",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3514","2603","911",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1207","1063","144",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4209","3498","711",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6861","6330","531",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","6471","5877","594",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","6237","5587","650",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","2804","2290","514",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7018","6159","859",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3713","3260","453",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","4100","4017","83",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1087","805","282",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","5064","4089","975",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","1774","1386","388",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","5160","4276","884",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2529","1680","849",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2189","1738","451",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","3745","3157","588",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1606","1544","62",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7890","6929","961",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","6352","5558","794",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5252","4657","595",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","6817","6572","245",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2660","2561","99",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","6375","5897","478",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1696","1590","106",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","8907","8481","426",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","7025","5392","1633",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","2998","2465","533",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","3187","2707","480",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","3189","3086","103",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2860","2792","68",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4031","3847","184",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","5398","5319","79",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","1819","1693","126",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","822","793","29",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","4599","4351","248",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6021","5800","221",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","11247","9567","1680",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","9859","8671","1188",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3675","2967","708",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2525","2325","200",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","7854","7103","751",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4331","4152","179",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5826","5209","617",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","2477","2401","76",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","5501","4688","813",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","1891","1760","131",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","2175","2007","168",NA
