"","Geography","Geographic_Area_Name","Estimate_Total:","Estimate_Total:_Native","Estimate_Total:_Foreign-Born","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","7557","6935","622",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","4426","4113","313",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2319","2147","172",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","6256","5715","541",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","4973","4605","368",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","4963","4903","60",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","6505","6017","488",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2526","1745","781",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3430","2875","555",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1287","1072","215",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4403","3673","730",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6684","6143","541",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","5703","5513","190",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","6977","6254","723",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","3471","3254","217",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","7857","7376","481",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","3506","3191","315",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","4652","4557","95",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","1689","1382","307",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","4919","4198","721",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","2422","2090","332",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","4547","3565","982",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","2622","1708","914",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","2494","1902","592",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","4221","3505","716",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","1716","1454","262",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","7469","6192","1277",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","5161","4566","595",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5804","5435","369",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","7612","7161","451",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2668","2462","206",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","6254","5406","848",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","1562","1466","96",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","9267","8657","610",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","6975","5931","1044",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","3826","3316","510",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","2650","2386","264",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","3259","3093","166",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","2779","2584","195",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","4922","4732","190",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","6210","6125","85",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","2152","2033","119",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","792","769","23",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","5717","5517","200",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","6508","6307","201",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","11379","9226","2153",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","12036","10086","1950",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","3702","3029","673",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","2804","2392","412",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","9069","7812","1257",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4646","4370","276",NA
"53","1400000US12001002217","Census Tract 22.17, Alachua County, Florida","5660","5368","292",NA
"54","1400000US12001002218","Census Tract 22.18, Alachua County, Florida","1733","1610","123",NA
"55","1400000US12001002219","Census Tract 22.19, Alachua County, Florida","6438","5674","764",NA
"56","1400000US12001002220","Census Tract 22.20, Alachua County, Florida","2292","2087","205",NA
"57","1400000US12001110800","Census Tract 1108, Alachua County, Florida","1972","1793","179",NA
