"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_Male","Estimate_Total_Male_Under_5_years","Estimate_Total_Male_5_to_9_years","Estimate_Total_Male_10_to_14_years","Estimate_Total_Male_15_to_19_years","Estimate_Total_Male_20_to_24_years","Estimate_Total_Male_25_to_29_years","Estimate_Total_Male_30_to_34_years","Estimate_Total_Male_35_to_39_years","Estimate_Total_Male_40_to_44_years","Estimate_Total_Male_45_to_49_years","Estimate_Total_Male_50_to_54_years","Estimate_Total_Male_55_to_59_years","Estimate_Total_Male_60_to_64_years","Estimate_Total_Male_65_to_69_years","Estimate_Total_Male_70_to_74_years","Estimate_Total_Male_75_to_79_years","Estimate_Total_Male_80_to_84_years","Estimate_Total_Male_85_years_and_over","Estimate_Total_Female","Estimate_Total_Female_Under_5_years","Estimate_Total_Female_5_to_9_years","Estimate_Total_Female_10_to_14_years","Estimate_Total_Female_15_to_19_years","Estimate_Total_Female_20_to_24_years","Estimate_Total_Female_25_to_29_years","Estimate_Total_Female_30_to_34_years","Estimate_Total_Female_35_to_39_years","Estimate_Total_Female_40_to_44_years","Estimate_Total_Female_45_to_49_years","Estimate_Total_Female_50_to_54_years","Estimate_Total_Female_55_to_59_years","Estimate_Total_Female_60_to_64_years","Estimate_Total_Female_65_to_69_years","Estimate_Total_Female_70_to_74_years","Estimate_Total_Female_75_to_79_years","Estimate_Total_Female_80_to_84_years","Estimate_Total_Female_85_years_and_over","NA"
"2","1400000US12001000201","Census Tract 2.01; Alachua County; Florida","646","418","0","0","0","15","265","100","38","0","0","0","0","0","0","0","0","0","0","0","228","0","0","0","6","145","0","27","0","0","27","23","0","0","0","0","0","0","0",NA
"3","1400000US12001000202","Census Tract 2.02; Alachua County; Florida","212","57","0","0","0","0","28","0","29","0","0","0","0","0","0","0","0","0","0","0","155","0","0","0","44","40","32","17","0","0","0","11","0","11","0","0","0","0","0",NA
"4","1400000US12001000301","Census Tract 3.01; Alachua County; Florida","231","71","0","0","0","0","0","0","0","19","0","0","0","0","0","0","39","10","0","3","160","0","0","0","0","4","0","13","0","0","7","29","0","10","46","3","48","0","0",NA
"5","1400000US12001000302","Census Tract 3.02; Alachua County; Florida","156","26","0","0","0","0","0","2","0","7","0","0","14","0","0","0","0","0","0","3","130","0","0","0","0","0","5","5","18","21","0","0","0","20","0","0","61","0","0",NA
"6","1400000US12001000400","Census Tract 4; Alachua County; Florida","90","65","0","0","0","0","0","0","0","0","18","0","0","0","0","0","18","29","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","15","10","0","0","0",NA
"7","1400000US12001000500","Census Tract 5; Alachua County; Florida","405","147","0","0","0","0","0","0","32","49","0","21","0","0","45","0","0","0","0","0","258","0","0","0","0","0","13","37","117","17","0","0","0","0","21","53","0","0","0",NA
"8","1400000US12001000600","Census Tract 6; Alachua County; Florida","66","19","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","4","9","47","0","0","0","0","0","3","0","11","0","0","11","0","0","12","0","0","0","10",NA
"9","1400000US12001000700","Census Tract 7; Alachua County; Florida","329","137","0","0","0","0","0","0","26","38","0","24","0","0","0","40","0","0","0","9","192","0","0","0","0","0","0","0","114","43","0","0","0","14","10","0","0","11","0",NA
"10","1400000US12001000806","Census Tract 8.06; Alachua County; Florida","543","300","0","48","8","8","0","72","34","91","10","0","9","0","0","0","20","0","0","0","243","0","0","30","16","53","0","67","52","0","0","6","0","8","0","0","11","0","0",NA
"11","1400000US12001000808","Census Tract 8.08; Alachua County; Florida","425","208","0","0","0","19","69","15","52","23","0","12","0","18","0","0","0","0","0","0","217","0","0","19","0","0","84","10","0","18","13","14","0","50","0","0","9","0","0",NA
