Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Male,Estimate_Total_Male_Under_5_years,Estimate_Total_Male_5_to_9_years,Estimate_Total_Male_10_to_14_years,Estimate_Total_Male_15_to_19_years,Estimate_Total_Male_20_to_24_years,Estimate_Total_Male_25_to_29_years,Estimate_Total_Male_30_to_34_years,Estimate_Total_Male_35_to_39_years,Estimate_Total_Male_40_to_44_years,Estimate_Total_Male_45_to_49_years,Estimate_Total_Male_50_to_54_years,Estimate_Total_Male_55_to_59_years,Estimate_Total_Male_60_to_64_years,Estimate_Total_Male_65_to_69_years,Estimate_Total_Male_70_to_74_years,Estimate_Total_Male_75_to_79_years,Estimate_Total_Male_80_to_84_years,Estimate_Total_Male_85_years_and_over,Estimate_Total_Female,Estimate_Total_Female_Under_5_years,Estimate_Total_Female_5_to_9_years,Estimate_Total_Female_10_to_14_years,Estimate_Total_Female_15_to_19_years,Estimate_Total_Female_20_to_24_years,Estimate_Total_Female_25_to_29_years,Estimate_Total_Female_30_to_34_years,Estimate_Total_Female_35_to_39_years,Estimate_Total_Female_40_to_44_years,Estimate_Total_Female_45_to_49_years,Estimate_Total_Female_50_to_54_years,Estimate_Total_Female_55_to_59_years,Estimate_Total_Female_60_to_64_years,Estimate_Total_Female_65_to_69_years,Estimate_Total_Female_70_to_74_years,Estimate_Total_Female_75_to_79_years,Estimate_Total_Female_80_to_84_years,Estimate_Total_Female_85_years_and_over
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",622,148,0,0,0,3,21,0,124,0,0,0,0,0,0,0,0,0,0,0,474,0,0,0,31,222,84,105,20,12,0,0,0,0,0,0,0,0,0
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",35,16,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,8,0,0,0,0
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",177,120,0,0,0,0,34,80,0,0,0,0,0,6,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,18,33,0,0,6,0,0,0,0,0
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",229,79,0,0,0,0,0,0,19,0,24,1,0,35,0,0,0,0,0,0,150,0,0,0,24,0,0,11,0,22,0,0,10,39,28,16,0,0,0
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",378,201,0,0,0,20,0,113,0,0,0,39,0,15,0,14,0,0,0,0,177,0,0,0,0,0,104,22,0,37,0,0,0,0,0,0,14,0,0
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",126,20,0,0,0,0,0,0,0,0,9,3,0,0,0,0,8,0,0,0,106,0,12,0,0,11,36,0,0,14,3,0,15,0,8,0,7,0,0
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",190,100,0,0,0,0,24,0,0,12,0,0,0,16,14,0,0,34,0,0,90,0,0,0,0,19,15,0,0,21,0,0,19,16,0,0,0,0,0
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",310,203,0,13,0,0,50,31,56,18,23,8,4,0,0,0,0,0,0,0,107,0,0,0,0,26,26,19,13,8,0,8,0,7,0,0,0,0,0
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",911,553,0,6,0,23,151,192,119,17,20,0,25,0,0,0,0,0,0,0,358,0,0,0,6,56,133,56,16,20,0,0,51,20,0,0,0,0,0
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",144,58,0,6,0,11,1,9,6,8,8,0,0,0,0,0,0,9,0,0,86,10,0,0,0,14,14,11,0,7,0,0,22,0,0,0,0,0,8
