Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_English_only,Estimate_Total_Spanish,Estimate_Total_Spanish_Limited_English_speaking_household,Estimate_Total_Spanish_Not_a_limited_English_speaking_household,Estimate_Total_French_Haitian_or_Cajun,Estimate_Total_French_Haitian_or_Cajun_Limited_English_speaking_household,Estimate_Total_French_Haitian_or_Cajun_Not_a_limited_English_speaking_household,Estimate_Total_German_or_other_West_Germanic_languages,Estimate_Total_German_or_other_West_Germanic_languages_Limited_English_speaking_household,Estimate_Total_German_or_other_West_Germanic_languages_Not_a_limited_English_speaking_household,Estimate_Total_Russian_Polish_or_other_Slavic_languages,Estimate_Total_Russian_Polish_or_other_Slavic_languages_Limited_English_speaking_household,Estimate_Total_Russian_Polish_or_other_Slavic_languages_Not_a_limited_English_speaking_household,Estimate_Total_Other_Indo-European_languages,Estimate_Total_Other_Indo-European_languages_Limited_English_speaking_household,Estimate_Total_Other_Indo-European_languages_Not_a_limited_English_speaking_household,Estimate_Total_Korean,Estimate_Total_Korean_Limited_English_speaking_household,Estimate_Total_Korean_Not_a_limited_English_speaking_household,Estimate_Total_Chinese_(incl._Mandarin_Cantonese),Estimate_Total_Chinese_(incl._Mandarin_Cantonese)_Limited_English_speaking_household,Estimate_Total_Chinese_(incl._Mandarin_Cantonese)_Not_a_limited_English_speaking_household,Estimate_Total_Vietnamese,Estimate_Total_Vietnamese_Limited_English_speaking_household,Estimate_Total_Vietnamese_Not_a_limited_English_speaking_household,Estimate_Total_Tagalog_(incl._Filipino),Estimate_Total_Tagalog_(incl._Filipino)_Limited_English_speaking_household,Estimate_Total_Tagalog_(incl._Filipino)_Not_a_limited_English_speaking_household,Estimate_Total_Other_Asian_and_Pacific_Island_languages,Estimate_Total_Other_Asian_and_Pacific_Island_languages_Limited_English_speaking_household,Estimate_Total_Other_Asian_and_Pacific_Island_languages_Not_a_limited_English_speaking_household,Estimate_Total_Arabic,Estimate_Total_Arabic_Limited_English_speaking_household,Estimate_Total_Arabic_Not_a_limited_English_speaking_household,Estimate_Total_Other_and_unspecified_languages,Estimate_Total_Other_and_unspecified_languages_Limited_English_speaking_household,Estimate_Total_Other_and_unspecified_languages_Not_a_limited_English_speaking_household
1400000US12001000201,Census Tract 2.01; Alachua County; Florida,2308,1647,417,0,417,0,0,0,0,0,0,0,0,0,196,0,196,36,9,27,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12001000202,Census Tract 2.02; Alachua County; Florida,1860,1397,306,0,306,0,0,0,0,0,0,0,0,0,32,32,0,37,0,37,27,0,27,35,0,35,0,0,0,26,0,26,0,0,0,0,0,0
1400000US12001000301,Census Tract 3.01; Alachua County; Florida,1952,1738,170,58,112,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0,29,29,0,0,0,0,0,0,0,0,0,0
1400000US12001000302,Census Tract 3.02; Alachua County; Florida,1363,1173,183,14,169,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
1400000US12001000400,Census Tract 4; Alachua County; Florida,2341,2060,256,0,256,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
1400000US12001000500,Census Tract 5; Alachua County; Florida,2796,2421,196,0,196,0,0,0,0,0,0,59,0,59,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,35,0,35,0,0,0
1400000US12001000600,Census Tract 6; Alachua County; Florida,1734,1707,9,0,9,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
1400000US12001000700,Census Tract 7; Alachua County; Florida,2512,2231,146,27,119,114,0,114,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US12001000806,Census Tract 8.06; Alachua County; Florida,1491,813,332,18,314,19,0,19,134,0,134,0,0,0,114,59,55,0,0,0,0,0,0,25,0,25,54,10,44,0,0,0,0,0,0,0,0,0
1400000US12001000808,Census Tract 8.08; Alachua County; Florida,1699,1376,89,0,89,22,0,22,9,0,9,0,0,0,69,0,69,0,0,0,77,25,52,0,0,0,21,9,12,0,0,0,22,0,22,14,0,14
1400000US12001000809,Census Tract 8.09; Alachua County; Florida,791,606,69,0,69,14,7,7,0,0,0,16,0,16,0,0,0,0,0,0,27,15,12,0,0,0,27,0,27,12,0,12,20,0,20,0,0,0
1400000US12001000901,Census Tract 9.01; Alachua County; Florida,237,48,63,37,26,7,0,7,8,0,8,0,0,0,50,0,50,11,11,0,28,18,10,3,3,0,0,0,0,4,0,4,15,0,15,0,0,0
