"","Year","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_other_Indo_European_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_18_years_and_over","Estimate_Total_18_years_and_over_Speak_Spanish","Estimate_Total_18_years_and_over_Speak_other_Indo_European_languages","Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_years_and_over_Speak_other_languages"
"1",2014,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3601,324,21,126,54,123,0,3277,832,437,1680,328
"2",2015,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3131,242,43,93,44,62,0,2889,794,521,1263,311
"3",2016,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3552,336,74,129,43,90,0,3216,1046,535,1368,267
"4",2017,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3405,312,66,92,0,154,0,3093,912,342,1624,215
"5",2018,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3122,305,73,81,6,145,0,2817,925,408,1470,14
"6",2019,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3924,463,77,121,41,224,0,3461,1141,512,1765,43
"7",2020,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3871,493,60,228,37,168,0,3378,1105,521,1646,106
"8",2021,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",3183,337,45,68,39,185,0,2846,824,506,1470,46
"9",2022,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",2782,221,17,51,44,109,0,2561,784,571,1179,27
"10",2023,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",2864,220,25,66,45,84,0,2644,1062,536,1008,38
"11",2024,"0600000US1200191248","Gainesville CCD, Alachua County, Florida",2394,75,29,11,0,35,0,2319,1028,407,884,0
