"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_18_years_and_over","Estimate_Total_18_years_and_over_Speak_Spanish","Estimate_Total_18_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_years_and_over_Speak_other_languages","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","15","0","0","0","0","0","0","15","0","0","0","15",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","69","0","0","0","0","0","0","69","14","0","55","0",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","89","12","12","0","0","0","0","77","71","0","6","0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","198","0","0","0","0","0","0","198","38","0","160","0",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","28","0","0","0","0","0","0","28","0","28","0","0",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","47","19","19","0","0","0","0","28","0","12","0","16",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","106","0","0","0","0","0","0","106","94","0","0","12",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","191","13","0","0","0","13","0","178","24","42","112","0",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","80","14","0","14","0","0","0","66","15","0","51","0",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","18","0","0","0","0","0","0","18","0","0","18","0",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","214","13","7","0","6","0","0","201","6","49","146","0",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","0","0","0","0","0","0","0","0","0","0","0","0",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","76","0","0","0","0","0","0","76","16","32","28","0",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","54","21","0","0","0","21","0","33","0","19","14","0",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","134","0","0","0","0","0","0","134","82","19","33","0",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","65","0","0","0","0","0","0","65","0","35","30","0",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","3","0","0","0","0","0","0","3","3","0","0","0",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","36","0","0","0","0","0","0","36","23","0","13","0",NA
