Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_5_to_17_years,Estimate_Total_5_to_17_years_Speak_only_English,Estimate_Total_5_to_17_years_Speak_Spanish,Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages,Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_5_to_17_years_Speak_other_languages,Estimate_Total_18_years_and_over,Estimate_Total_18_years_and_over_Speak_Spanish,Estimate_Total_18_years_and_over_Speak_other_Indo-European_languages,Estimate_Total_18_years_and_over_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_18_years_and_over_Speak_other_languages
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",182,0,0,0,0,0,0,182,18,0,37,127
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",11,0,0,0,0,0,0,11,11,0,0,0
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",96,24,0,24,0,0,0,72,72,0,0,0
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",17,0,0,0,0,0,0,17,17,0,0,0
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",7,0,0,0,0,0,0,7,0,7,0,0
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",115,13,0,0,13,0,0,102,10,13,79,0
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",410,6,0,0,0,6,0,404,0,109,295,0
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",14,0,0,0,0,0,0,14,0,8,6,0
2014,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",165,9,0,0,0,9,0,156,13,11,132,0
2014,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001000,"Census Tract 10, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001100,"Census Tract 11, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",35,0,0,0,0,0,0,35,6,0,29,0
2014,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",441,31,0,14,0,17,0,410,282,29,99,0
2014,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001400,"Census Tract 14, Alachua County, Florida",14,0,0,0,0,0,0,14,14,0,0,0
2014,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",32,0,0,0,0,0,0,32,0,0,32,0
2014,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",85,0,0,0,0,0,0,85,0,0,60,25
2014,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",6,0,0,0,0,0,0,6,0,0,6,0
2014,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",125,12,0,12,0,0,0,113,17,0,0,96
2014,1400000US12001001519,"Census Tract 15.19, Alachua County, Florida",129,10,0,6,0,4,0,119,11,0,108,0
2014,1400000US12001001520,"Census Tract 15.20, Alachua County, Florida",160,14,0,14,0,0,0,146,98,0,48,0
2014,1400000US12001001521,"Census Tract 15.21, Alachua County, Florida",137,0,0,0,0,0,0,137,0,0,113,24
2014,1400000US12001001603,"Census Tract 16.03, Alachua County, Florida",23,0,0,0,0,0,0,23,0,23,0,0
2014,1400000US12001001604,"Census Tract 16.04, Alachua County, Florida",174,0,0,0,0,0,0,174,25,0,149,0
2014,1400000US12001001701,"Census Tract 17.01, Alachua County, Florida",22,0,0,0,0,0,0,22,0,22,0,0
2014,1400000US12001001702,"Census Tract 17.02, Alachua County, Florida",253,36,21,15,0,0,0,217,18,80,107,12
2014,1400000US12001001801,"Census Tract 18.01, Alachua County, Florida",2,0,0,0,0,0,0,2,2,0,0,0
2014,1400000US12001001802,"Census Tract 18.02, Alachua County, Florida",38,0,0,0,0,0,0,38,15,0,23,0
2014,1400000US12001001803,"Census Tract 18.03, Alachua County, Florida",64,24,0,0,0,24,0,40,16,0,24,0
2014,1400000US12001001805,"Census Tract 18.05, Alachua County, Florida",3,0,0,0,0,0,0,3,3,0,0,0
2014,1400000US12001001806,"Census Tract 18.06, Alachua County, Florida",111,13,0,13,0,0,0,98,60,38,0,0
2014,1400000US12001001811,"Census Tract 18.11, Alachua County, Florida",526,159,0,0,0,159,0,367,28,58,281,0
2014,1400000US12001001813,"Census Tract 18.13, Alachua County, Florida",32,14,0,0,0,14,0,18,0,0,18,0
2014,1400000US12001001814,"Census Tract 18.14, Alachua County, Florida",40,0,0,0,0,0,0,40,0,40,0,0
2014,1400000US12001001902,"Census Tract 19.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001907,"Census Tract 19.07, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001908,"Census Tract 19.08, Alachua County, Florida",41,2,0,2,0,0,0,39,29,0,10,0
2014,1400000US12001002000,"Census Tract 20, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001002101,"Census Tract 21.01, Alachua County, Florida",64,0,0,0,0,0,0,64,0,64,0,0
2014,1400000US12001002102,"Census Tract 21.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001002201,"Census Tract 22.01, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",47,0,0,0,0,0,0,47,47,0,0,0
2014,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",319,57,0,0,0,57,0,262,26,15,221,0
2014,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",144,41,0,0,41,0,0,103,0,90,13,0
2014,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",11,0,0,0,0,0,0,11,11,0,0,0
2014,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",21,0,0,0,0,0,0,21,21,0,0,0
2014,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",28,0,0,0,0,0,0,28,0,0,0,28
2014,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",13,0,0,0,0,0,0,13,13,0,0,0
2014,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",115,12,0,0,0,12,0,103,13,0,90,0
2014,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",9,0,0,0,0,0,0,9,6,0,3,0
2014,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",252,59,0,41,0,18,0,193,96,0,53,44
2014,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",53,0,0,0,0,0,0,53,23,30,0,0
2014,1400000US12001110800,"Census Tract 1108, Alachua County, Florida",24,0,0,0,0,0,0,24,24,0,0,0
2019,1400000US12001000200,"Census Tract 2, Alachua County, Florida",15,0,0,0,0,0,0,15,0,0,0,15
2019,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",69,0,0,0,0,0,0,69,14,0,55,0
2019,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",89,12,12,0,0,0,0,77,71,0,6,0
2019,1400000US12001000400,"Census Tract 4, Alachua County, Florida",198,0,0,0,0,0,0,198,38,0,160,0
2019,1400000US12001000500,"Census Tract 5, Alachua County, Florida",28,0,0,0,0,0,0,28,0,28,0,0
2019,1400000US12001000600,"Census Tract 6, Alachua County, Florida",47,19,19,0,0,0,0,28,0,12,0,16
2019,1400000US12001000700,"Census Tract 7, Alachua County, Florida",106,0,0,0,0,0,0,106,94,0,0,12
2019,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",191,13,0,0,0,13,0,178,24,42,112,0
2019,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",80,14,0,14,0,0,0,66,15,0,51,0
2019,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",18,0,0,0,0,0,0,18,0,0,18,0
2019,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",214,13,7,0,6,0,0,201,6,49,146,0
2019,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001001000,"Census Tract 10, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001001100,"Census Tract 11, Alachua County, Florida",76,0,0,0,0,0,0,76,16,32,28,0
2019,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",54,21,0,0,0,21,0,33,0,19,14,0
2019,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",134,0,0,0,0,0,0,134,82,19,33,0
2019,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",65,0,0,0,0,0,0,65,0,35,30,0
2019,1400000US12001001400,"Census Tract 14, Alachua County, Florida",3,0,0,0,0,0,0,3,3,0,0,0
2019,1400000US12001001514,"Census Tract 15.14, Alachua County, Florida",36,0,0,0,0,0,0,36,23,0,13,0
2019,1400000US12001001515,"Census Tract 15.15, Alachua County, Florida",266,35,0,0,35,0,0,231,25,37,169,0
2019,1400000US12001001516,"Census Tract 15.16, Alachua County, Florida",33,0,0,0,0,0,0,33,0,0,33,0
2019,1400000US12001001517,"Census Tract 15.17, Alachua County, Florida",205,11,11,0,0,0,0,194,52,14,128,0
2019,1400000US12001001519,"Census Tract 15.19, Alachua County, Florida",39,0,0,0,0,0,0,39,0,6,33,0
2019,1400000US12001001520,"Census Tract 15.20, Alachua County, Florida",122,0,0,0,0,0,0,122,72,0,50,0
2019,1400000US12001001521,"Census Tract 15.21, Alachua County, Florida",358,86,19,22,0,45,0,272,146,80,46,0
2019,1400000US12001001603,"Census Tract 16.03, Alachua County, Florida",33,9,9,0,0,0,0,24,20,4,0,0
2019,1400000US12001001604,"Census Tract 16.04, Alachua County, Florida",279,0,0,0,0,0,0,279,142,36,101,0
2019,1400000US12001001701,"Census Tract 17.01, Alachua County, Florida",161,24,0,24,0,0,0,137,53,0,84,0
2019,1400000US12001001702,"Census Tract 17.02, Alachua County, Florida",107,0,0,0,0,0,0,107,107,0,0,0
2019,1400000US12001001801,"Census Tract 18.01, Alachua County, Florida",57,0,0,0,0,0,0,57,13,0,44,0
2019,1400000US12001001802,"Census Tract 18.02, Alachua County, Florida",57,7,0,0,7,0,0,50,8,12,30,0
2019,1400000US12001001803,"Census Tract 18.03, Alachua County, Florida",152,49,0,0,0,49,0,103,32,16,55,0
2019,1400000US12001001805,"Census Tract 18.05, Alachua County, Florida",50,20,13,0,0,7,0,30,23,0,7,0
2019,1400000US12001001806,"Census Tract 18.06, Alachua County, Florida",29,0,0,0,0,0,0,29,29,0,0,0
2019,1400000US12001001811,"Census Tract 18.11, Alachua County, Florida",20,0,0,0,0,0,0,20,20,0,0,0
2019,1400000US12001001813,"Census Tract 18.13, Alachua County, Florida",65,13,0,0,0,13,0,52,0,9,43,0
2019,1400000US12001001814,"Census Tract 18.14, Alachua County, Florida",265,110,0,0,110,0,0,155,0,155,0,0
2019,1400000US12001001902,"Census Tract 19.02, Alachua County, Florida",34,0,0,0,0,0,0,34,25,9,0,0
2019,1400000US12001001907,"Census Tract 19.07, Alachua County, Florida",91,0,0,0,0,0,0,91,0,33,0,58
2019,1400000US12001001908,"Census Tract 19.08, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001002000,"Census Tract 20, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001002101,"Census Tract 21.01, Alachua County, Florida",3,0,0,0,0,0,0,3,3,0,0,0
2019,1400000US12001002102,"Census Tract 21.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001002201,"Census Tract 22.01, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001002202,"Census Tract 22.02, Alachua County, Florida",0,0,0,0,0,0,0,0,0,0,0,0
2019,1400000US12001002204,"Census Tract 22.04, Alachua County, Florida",229,75,0,0,0,75,0,154,0,27,127,0
2019,1400000US12001002205,"Census Tract 22.05, Alachua County, Florida",125,38,0,38,0,0,0,87,49,0,38,0
2019,1400000US12001002207,"Census Tract 22.07, Alachua County, Florida",185,59,0,0,0,59,0,126,0,0,126,0
2019,1400000US12001002208,"Census Tract 22.08, Alachua County, Florida",78,0,0,0,0,0,0,78,19,7,52,0
2019,1400000US12001002209,"Census Tract 22.09, Alachua County, Florida",230,44,0,0,0,44,0,186,16,0,170,0
2019,1400000US12001002210,"Census Tract 22.10, Alachua County, Florida",75,9,0,9,0,0,0,66,56,10,0,0
2019,1400000US12001002217,"Census Tract 22.17, Alachua County, Florida",49,0,0,0,0,0,0,49,0,0,49,0
2019,1400000US12001002218,"Census Tract 22.18, Alachua County, Florida",42,23,0,23,0,0,0,19,15,4,0,0
2019,1400000US12001002219,"Census Tract 22.19, Alachua County, Florida",120,11,0,0,0,11,0,109,0,46,63,0
2019,1400000US12001002220,"Census Tract 22.20, Alachua County, Florida",32,0,0,0,0,0,0,32,26,6,0,0
