"","Geography","Geographic_Area_Name","Estimate_Total","Estimate_Total_5_to_17_years","Estimate_Total_5_to_17_years_Speak_only_English","Estimate_Total_5_to_17_years_Speak_Spanish","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_5_to_17_years_Speak_other_languages","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_well","Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years","Estimate_Total_18_to_64_years_Speak_only_English","Estimate_Total_18_to_64_years_Speak_Spanish","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_18_to_64_years_Speak_other_languages","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_very_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_well","Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over","Estimate_Total_65_years_and_over_Speak_only_English","Estimate_Total_65_years_and_over_Speak_Spanish","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all","Estimate_Total_65_years_and_over_Speak_other_languages","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_very_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_well","Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_at_all","NA","Year"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","7477","162","162","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7181","5976","697","678","19","0","0","388","388","0","0","0","88","68","20","0","0","32","17","15","0","0","134","134","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","4271","376","376","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3573","3236","148","134","14","0","0","125","125","0","0","0","64","20","44","0","0","0","0","0","0","0","322","300","0","0","0","0","0","11","11","0","0","0","11","0","11","0","0","0","0","0","0","0",NA,"2019"
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2248","306","306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1545","1371","89","68","14","7","0","65","56","9","0","0","6","0","6","0","0","14","14","0","0","0","397","316","66","9","0","57","0","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","6147","1896","1873","23","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3567","3000","232","142","53","0","37","94","59","0","35","0","241","54","27","114","46","0","0","0","0","0","684","588","78","40","26","12","0","0","0","0","0","0","18","0","0","0","18","0","0","0","0","0",NA,"2019"
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","4657","286","276","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3808","3332","302","302","0","0","0","149","92","14","43","0","25","25","0","0","0","0","0","0","0","0","563","521","42","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","4383","1272","1266","6","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2691","2617","15","15","0","0","0","42","30","12","0","0","0","0","0","0","0","17","1","16","0","0","420","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","6377","810","810","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4433","3995","414","116","57","204","37","23","23","0","0","0","0","0","0","0","0","1","1","0","0","0","1134","1071","0","0","0","0","0","51","0","51","0","0","0","0","0","0","0","12","0","12","0","0",NA,"2019"
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","2391","104","63","0","0","0","0","0","0","0","0","0","0","41","0","14","27","0","0","0","0","0","0","2107","1550","112","81","31","0","0","198","156","42","0","0","215","123","19","73","0","32","32","0","0","0","180","144","7","3","4","0","0","0","0","0","0","0","29","0","0","0","29","0","0","0","0","0",NA,"2019"
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","3228","324","280","30","16","5","9","0","14","14","0","0","0","0","0","0","0","0","0","0","0","0","0","2749","2101","309","176","98","35","0","132","125","7","0","0","198","132","42","24","0","9","0","9","0","0","155","147","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0",NA,"2019"
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","1243","62","55","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","7","0","0","0","895","690","94","82","12","0","0","16","16","0","0","0","89","52","37","0","0","6","6","0","0","0","286","266","11","5","6","0","0","0","0","0","0","0","9","2","3","4","0","0","0","0","0","0",NA,"2019"
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4329","158","88","11","11","0","0","0","8","0","8","0","0","0","0","0","0","0","51","0","0","51","0","4171","2927","467","445","16","6","0","328","259","69","0","0","406","221","175","10","0","43","30","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","6684","57","48","4","4","0","0","0","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","6627","5215","770","733","37","0","0","203","177","26","0","0","366","306","60","0","0","73","68","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","5587","284","284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4601","4116","358","358","0","0","0","79","63","16","0","0","0","0","0","0","0","48","48","0","0","0","702","628","39","18","21","0","0","35","35","0","0","0","0","0","0","0","0","0","0","0","0","0",NA,"2019"
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","6704","1293","1293","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3650","3098","91","91","0","0","0","284","249","18","17","0","177","177","0","0","0","0","0","0","0","0","1761","1591","70","54","16","0","0","72","40","32","0","0","28","0","28","0","0","0","0","0","0","0",NA,"2019"
