Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_5_to_17_years,Estimate_Total_5_to_17_years_Speak_only_English,Estimate_Total_5_to_17_years_Speak_Spanish,Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_very_well,Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_well,Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_well,Estimate_Total_5_to_17_years_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages,Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_5_to_17_years_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_5_to_17_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_5_to_17_years_Speak_other_languages,Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_very_well,Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_well,Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_well,Estimate_Total_5_to_17_years_Speak_other_languages_Speak_English_not_at_all,Estimate_Total_18_to_64_years,Estimate_Total_18_to_64_years_Speak_only_English,Estimate_Total_18_to_64_years_Speak_Spanish,Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_very_well,Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_well,Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_well,Estimate_Total_18_to_64_years_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages,Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_18_to_64_years_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_18_to_64_years_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_18_to_64_years_Speak_other_languages,Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_very_well,Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_well,Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_well,Estimate_Total_18_to_64_years_Speak_other_languages_Speak_English_not_at_all,Estimate_Total_65_years_and_over,Estimate_Total_65_years_and_over_Speak_only_English,Estimate_Total_65_years_and_over_Speak_Spanish,Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_very_well,Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_well,Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_well,Estimate_Total_65_years_and_over_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages,Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_65_years_and_over_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_65_years_and_over_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_65_years_and_over_Speak_other_languages,Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_very_well,Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_well,Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_well,Estimate_Total_65_years_and_over_Speak_other_languages_Speak_English_not_at_all
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",7502,149,124,24,24,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7212,6108,456,425,31,0,0,294,294,0,0,0,202,165,37,0,0,152,25,127,0,0,141,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",3262,419,400,0,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2571,2433,86,86,0,0,0,19,8,11,0,0,33,33,0,0,0,0,0,0,0,0,272,245,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",2378,330,306,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1737,1562,175,103,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",5041,928,907,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3693,3463,207,105,4,98,0,22,22,0,0,0,1,1,0,0,0,0,0,0,0,0,420,352,52,3,6,43,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",5022,625,585,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4021,3492,340,316,0,24,0,189,189,0,0,0,0,0,0,0,0,0,0,0,0,0,376,348,0,0,0,0,0,14,14,0,0,0,0,0,0,0,0,14,14,0,0,0
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",4016,1068,1011,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2464,2348,36,17,19,0,0,30,23,7,0,0,13,13,0,0,0,37,37,0,0,0,484,477,0,0,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",6062,1256,1256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3761,3705,44,30,14,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",2094,36,6,0,0,0,0,0,13,13,0,0,0,17,17,0,0,0,0,0,0,0,0,1978,1555,99,89,10,0,0,107,69,38,0,0,182,95,87,0,0,35,35,0,0,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",3329,55,30,19,19,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,3165,2111,329,285,0,44,0,309,200,103,6,0,416,89,230,65,32,0,0,0,0,0,109,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",1160,78,72,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,861,746,6,6,0,0,0,67,59,8,0,0,37,31,6,0,0,5,5,0,0,0,221,206,6,0,0,6,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",4161,91,56,8,8,0,0,0,7,7,0,0,0,20,0,20,0,0,0,0,0,0,0,4070,3064,374,322,46,6,0,316,286,21,9,0,303,156,133,14,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",6861,199,171,12,12,0,0,0,11,11,0,0,0,5,5,0,0,0,0,0,0,0,0,6654,5612,549,518,31,0,0,262,240,22,0,0,178,148,30,0,0,53,53,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001000,"Census Tract 10, Alachua County, Florida",6313,311,241,48,48,0,0,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,5550,4807,445,316,129,0,0,220,215,5,0,0,73,69,4,0,0,5,5,0,0,0,452,379,12,12,0,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,1400000US12001001100,"Census Tract 11, Alachua County, Florida",6009,660,516,78,78,0,0,0,38,38,0,0,0,28,28,0,0,0,0,0,0,0,0,3634,3191,128,118,10,0,0,219,177,42,0,0,96,75,0,21,0,0,0,0,0,0,1715,1666,23,23,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0
