,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Native,Estimate_Total_Native_Speak_only_English,Estimate_Total_Native_Speak_Spanish,Estimate_Total_Native_Speak_Spanish_Speak_English_very_well,Estimate_Total_Native_Speak_Spanish_Speak_English_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_well,Estimate_Total_Native_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_Indo-European_languages,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Native_Speak_other_Indo-European_languages_Speak_English_not_well,Year,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Native_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Native_Speak_other_languages,Estimate_Total_Native_Speak_other_languages_Speak_English_very_well,Estimate_Total_Native_Speak_other_languages_Speak_English_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_well,Estimate_Total_Native_Speak_other_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born,Estimate_Total_Foreign_born_Speak_only_English,Estimate_Total_Foreign_born_Speak_Spanish,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Spanish_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_Indo-European_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_Asian_and_Pacific_Island_languages_Speak_English_not_at_all,Estimate_Total_Foreign_born_Speak_other_languages,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_well,Estimate_Total_Foreign_born_Speak_other_languages_Speak_English_not_at_all
1,1400000US12001000200,"Census Tract 2, Alachua County, Florida",7502,6880,6143,392,374,18,0,0,199,199,0,0,2014,146,146,0,0,0,0,0,0,0,0,622,230,88,75,13,0,0,96,96,0,0,0,56,19,37,0,0,152,25,127,0,0
2,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",3262,3227,3078,89,78,11,0,0,27,27,0,0,2014,33,33,0,0,0,0,0,0,0,0,35,0,8,8,0,0,0,11,0,11,0,0,0,0,0,0,0,16,16,0,0,0
3,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",2378,2201,2082,119,62,33,24,0,0,0,0,0,2014,0,0,0,0,0,0,0,0,0,0,177,97,80,41,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1400000US12001000400,"Census Tract 4, Alachua County, Florida",5041,4812,4636,165,88,10,67,0,11,11,0,0,2014,0,0,0,0,0,0,0,0,0,0,229,86,115,41,0,74,0,27,11,16,0,0,1,1,0,0,0,0,0,0,0,0
5,1400000US12001000500,"Census Tract 5, Alachua County, Florida",5022,4644,4338,227,227,0,0,0,79,79,0,0,2014,0,0,0,0,0,0,0,0,0,0,378,87,153,129,0,24,0,124,124,0,0,0,0,0,0,0,0,14,14,0,0,0
6,1400000US12001000600,"Census Tract 6, Alachua County, Florida",4016,3890,3783,84,74,10,0,0,23,23,0,0,2014,0,0,0,0,0,0,0,0,0,0,126,53,9,0,9,0,0,14,0,7,7,0,13,13,0,0,0,37,37,0,0,0
7,1400000US12001000700,"Census Tract 7, Alachua County, Florida",6062,5872,5858,14,0,14,0,0,0,0,0,0,2014,0,0,0,0,0,0,0,0,0,0,190,148,30,30,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",2094,1784,1621,89,89,0,0,0,21,21,0,0,2014,47,47,0,0,0,6,6,0,0,0,310,20,10,0,10,0,0,99,61,38,0,0,152,65,87,0,0,29,29,0,0,0
9,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",3329,2418,2155,152,152,0,0,0,74,74,0,0,2014,37,25,12,0,0,0,0,0,0,0,911,95,196,152,0,44,0,235,126,103,6,0,385,64,218,71,32,0,0,0,0,0
10,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",1160,1026,992,6,0,0,6,0,7,7,0,0,2014,16,16,0,0,0,5,5,0,0,0,134,32,6,6,0,0,0,69,61,8,0,0,27,15,6,6,0,0,0,0,0,0
11,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",4161,3470,2988,292,274,18,0,0,110,110,0,0,2014,72,72,0,0,0,8,8,0,0,0,691,132,90,56,28,6,0,213,183,21,9,0,251,84,153,14,0,5,5,0,0,0
