Year,Geography,Geographic_Area_Name,Estimate_Total,Estimate_Total_Native_population,Estimate_Total_Native_population_5_to_17_years,Estimate_Total_Native_population_5_to_17_years_Speak_only_English,Estimate_Total_Native_population_5_to_17_years_Speak_Spanish,Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_very_well,Estimate_Total_Native_population_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well,Estimate_Total_Native_population_5_to_17_years_Speak_other_languages,Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_very_well,Estimate_Total_Native_population_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well,Estimate_Total_Native_population_18_years_and_over,Estimate_Total_Native_population_18_years_and_over_Speak_only_English,Estimate_Total_Native_population_18_years_and_over_Speak_Spanish,Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_very_well,Estimate_Total_Native_population_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well,Estimate_Total_Native_population_18_years_and_over_Speak_other_languages,Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_very_well,Estimate_Total_Native_population_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_only_English,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_only_English,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign-born_population_Naturalized_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_only_English,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_Spanish_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_5_to_17_years_Speak_other_languages_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_only_English,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_Spanish_Speak_English_less_than_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_very_well,Estimate_Total_Foreign-born_population_Not_a_U.S._citizen_18_years_and_over_Speak_other_languages_Speak_English_less_than_very_well
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",7502,6880,149,124,24,24,0,1,1,0,6731,6019,368,350,18,344,344,0,622,154,0,0,0,0,0,0,0,0,154,29,40,40,0,85,85,0,468,0,0,0,0,0,0,0,0,468,201,48,35,13,219,55,164
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",3262,3227,419,400,0,0,0,19,19,0,2808,2678,89,78,11,41,41,0,35,24,0,0,0,0,0,0,0,0,24,0,8,8,0,16,16,0,11,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,11
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",2378,2201,330,306,24,0,24,0,0,0,1871,1776,95,62,33,0,0,0,177,136,0,0,0,0,0,0,0,0,136,97,39,0,39,0,0,0,41,0,0,0,0,0,0,0,0,41,0,41,41,0,0,0,0
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",5041,4812,928,907,21,21,0,0,0,0,3884,3729,144,67,77,11,11,0,229,29,0,0,0,0,0,0,0,0,29,28,0,0,0,1,1,0,200,0,0,0,0,0,0,0,0,200,58,115,41,74,27,11,16
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",5022,4644,605,585,20,20,0,0,0,0,4039,3753,207,207,0,79,79,0,378,173,20,0,20,20,0,0,0,0,153,0,71,71,0,82,82,0,205,0,0,0,0,0,0,0,0,205,87,62,38,24,56,56,0
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",4016,3890,1056,999,57,57,0,0,0,0,2834,2784,27,17,10,23,23,0,126,50,0,0,0,0,0,0,0,0,50,33,0,0,0,17,3,14,76,12,12,0,0,0,0,0,0,64,8,9,0,9,47,47,0
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",6062,5872,1256,1256,0,0,0,0,0,0,4616,4602,14,0,14,0,0,0,190,171,0,0,0,0,0,0,0,0,171,129,30,30,0,12,12,0,19,0,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",2094,1784,23,6,0,0,0,17,17,0,1761,1615,89,89,0,57,57,0,310,64,0,0,0,0,0,0,0,0,64,13,0,0,0,51,51,0,246,13,0,0,0,0,13,13,0,233,7,10,0,10,216,91,125
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",3329,2418,49,30,19,19,0,0,0,0,2369,2125,133,133,0,111,99,12,911,185,0,0,0,0,0,0,0,0,185,23,60,60,0,102,102,0,726,6,0,0,0,0,6,0,6,720,72,136,92,44,512,88,424
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",1160,1026,72,72,0,0,0,0,0,0,954,920,6,0,6,28,28,0,134,20,0,0,0,0,0,0,0,0,20,8,6,6,0,6,6,0,114,6,0,0,0,0,6,0,6,108,24,0,0,0,84,70,14
2014,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",4161,3470,56,56,0,0,0,0,0,0,3414,2932,292,274,18,190,190,0,691,121,0,0,0,0,0,0,0,0,121,54,38,20,18,29,29,0,570,35,0,8,8,0,27,7,20,535,78,44,28,16,413,236,177
2014,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",6861,6330,175,159,5,5,0,11,11,0,6155,5431,486,470,16,238,238,0,531,307,19,12,7,7,0,0,0,0,288,121,47,36,11,120,120,0,224,5,0,0,0,0,5,5,0,219,68,16,12,4,135,83,52
2014,1400000US12001001000,"Census Tract 10, Alachua County, Florida",6313,5719,311,241,48,48,0,22,22,0,5408,5039,298,219,79,71,71,0,594,284,0,0,0,0,0,0,0,0,284,69,91,91,0,124,120,4,310,0,0,0,0,0,0,0,0,310,78,68,18,50,164,159,5
2014,1400000US12001001100,"Census Tract 11, Alachua County, Florida",6009,5359,616,516,61,61,0,39,39,0,4743,4614,81,81,0,48,48,0,650,391,17,0,17,17,0,0,0,0,374,123,70,60,10,181,139,42,259,27,0,0,0,0,27,27,0,232,120,0,0,0,112,91,21
2014,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",2590,2076,359,199,75,75,0,85,85,0,1717,1600,71,71,0,46,38,8,514,365,6,0,0,0,0,6,6,0,359,30,65,56,9,264,218,46,149,0,0,0,0,0,0,0,0,149,0,106,85,21,43,8,35
2014,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",6652,5793,943,901,25,25,0,17,0,17,4850,4487,331,165,166,32,32,0,859,500,43,0,0,0,0,43,43,0,457,118,94,64,30,245,176,69,359,0,0,0,0,0,0,0,0,359,134,97,4,93,128,32,96
