"","Geography","Geographic_Area_Name","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_All_households","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Spanish","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_Indo-European_languages","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Asian_and_Pacific_Island_languages","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_languages","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status_(speak_a_language_other_than_English)","No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Ability_to_speak_English","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","4.4","5.8","0.0","24.2","100.0","5.8","3.7","4.0",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","0.6","11.3","0.0","0.0","0.0","2.5","10.9","21.2",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","2.9","32.7","-","-","-","2.3","0.0","0.0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","0.9","14.4","0.0","-","-","2.0","13.5","13.5",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","0.0","0.0","0.0","-","0.0","5.9","5.9","10.2",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","0.5","0.0","21.9","0.0","0.0","10.5","0.0","0.0",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","0.0","0.0","0.0","-","-","5.9","0.0","0.0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","9.9","14.5","14.1","52.7","0.0","6.9","6.8","6.8",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","9.6","0.0","28.0","62.4","-","5.0","2.8","1.2",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","2.3","0.0","14.3","20.7","0.0","2.1","4.4","4.4",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","26.4","8.6","13.9","62.6","-","1.0","1.2","1.2",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","0.0","-","0.0","0.0","-","0.7","0.0","0.0",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","0.0","0.0","0.0","0.0","-","3.0","0.5","0.5",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","0.0","0.0","0.0","0.0","-","4.8","2.4","2.4",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","1.8","4.3","0.0","33.3","-","2.6","0.0","0.0",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","5.8","37.4","8.3","62.6","-","0.9","1.4","1.4",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","0.0","0.0","0.0","0.0","-","6.9","0.0","0.0",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","0.8","23.3","0.0","0.0","-","2.2","0.0","0.0",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","2.7","0.0","0.0","86.4","0.0","0.6","0.0","0.0",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","2.8","0.0","0.0","29.7","52.0","7.6","11.1","11.1",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","0.6","0.0","0.0","13.6","-","6.5","3.7","3.7",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","2.7","8.5","0.0","0.0","73.1","7.3","12.2","12.2",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","4.0","3.9","0.0","30.0","-","9.5","5.4","5.4",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","8.5","15.3","0.0","60.3","0.0","1.8","0.0","0.0",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","2.9","0.0","0.0","41.7","44.0","8.1","0.0","2.0",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","2.2","0.0","26.8","-","-","9.8","0.0","0.0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","2.0","4.0","0.0","39.8","0.0","5.0","0.0","8.1",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","0.6","0.0","39.5","0.0","0.0","1.0","1.5","1.5",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5.4","14.0","31.6","44.3","50.0","3.7","3.4","3.4",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","0.1","2.7","0.0","0.0","-","6.8","0.0","0.0",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","2.5","20.8","0.0","62.5","-","3.2","0.0","0.0",NA
