"","Geography","Geographic_Area_Name","Estimate_Total_All_households","Estimate_Total_All_households_Households_speaking_--_Spanish","Estimate_Total_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Total_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Total_All_households_Households_speaking_--_Other_languages","Estimate_Percent_All_households","Estimate_Percent_All_households_Households_speaking_--_Spanish","Estimate_Percent_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Percent_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Percent_All_households_Households_speaking_--_Other_languages","Estimate_Limited_English-speaking_households_All_households","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Spanish","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_languages","Estimate_Percent_limited_English-speaking_households_All_households","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Spanish","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages","Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_languages","NA"
"2","1400000US12001000200","Census Tract 2, Alachua County, Florida","2583","414","175","58","15","(X)","16.0","6.8","2.2","0.6","15","0","0","0","15","0.6","0.0","0.0","0.0","100.0",NA
"3","1400000US12001000301","Census Tract 3.01, Alachua County, Florida","1750","122","68","31","0","(X)","7.0","3.9","1.8","0.0","35","14","0","21","0","2.0","11.5","0.0","67.7","-",NA
"4","1400000US12001000302","Census Tract 3.02, Alachua County, Florida","1084","112","64","6","11","(X)","10.3","5.9","0.6","1.0","70","64","0","6","0","6.5","57.1","0.0","100.0","0.0",NA
"5","1400000US12001000400","Census Tract 4, Alachua County, Florida","2151","175","56","81","0","(X)","8.1","2.6","3.8","0.0","52","26","0","26","0","2.4","14.9","0.0","32.1","-",NA
"6","1400000US12001000500","Census Tract 5, Alachua County, Florida","2522","228","81","25","0","(X)","9.0","3.2","1.0","0.0","14","0","14","0","0","0.6","0.0","17.3","0.0","-",NA
"7","1400000US12001000600","Census Tract 6, Alachua County, Florida","1558","14","42","0","16","(X)","0.9","2.7","0.0","1.0","28","0","12","0","16","1.8","0.0","28.6","-","100.0",NA
"8","1400000US12001000700","Census Tract 7, Alachua County, Florida","2374","112","25","0","12","(X)","4.7","1.1","0.0","0.5","49","37","0","0","12","2.1","33.0","0.0","-","100.0",NA
"9","1400000US12001000806","Census Tract 8.06, Alachua County, Florida","1080","79","108","175","16","(X)","7.3","10.0","16.2","1.5","121","24","32","65","0","11.2","30.4","29.6","37.1","0.0",NA
"10","1400000US12001000808","Census Tract 8.08, Alachua County, Florida","1237","145","102","103","8","(X)","11.7","8.2","8.3","0.6","34","7","0","27","0","2.7","4.8","0.0","26.2","0.0",NA
"11","1400000US12001000809","Census Tract 8.09, Alachua County, Florida","588","77","11","45","6","(X)","13.1","1.9","7.7","1.0","14","0","0","14","0","2.4","0.0","0.0","31.1","0.0",NA
"12","1400000US12001000901","Census Tract 9.01, Alachua County, Florida","438","43","87","178","13","(X)","9.8","19.9","40.6","3.0","142","6","28","108","0","32.4","14.0","32.2","60.7","0.0",NA
"13","1400000US12001000902","Census Tract 9.02, Alachua County, Florida","28","5","0","12","0","(X)","17.9","0.0","42.9","0.0","0","0","0","0","0","0.0","0.0","-","0.0","-",NA
"14","1400000US12001001000","Census Tract 10, Alachua County, Florida","2375","234","109","0","18","(X)","9.9","4.6","0.0","0.8","0","0","0","0","0","0.0","0.0","0.0","-","0.0",NA
"15","1400000US12001001100","Census Tract 11, Alachua County, Florida","2903","143","188","108","0","(X)","4.9","6.5","3.7","0.0","49","16","18","15","0","1.7","11.2","9.6","13.9","-",NA
"16","1400000US12001001201","Census Tract 12.01, Alachua County, Florida","1292","32","59","11","0","(X)","2.5","4.6","0.9","0.0","17","0","10","7","0","1.3","0.0","16.9","63.6","-",NA
"17","1400000US12001001202","Census Tract 12.02, Alachua County, Florida","3297","317","147","78","0","(X)","9.6","4.5","2.4","0.0","53","20","19","14","0","1.6","6.3","12.9","17.9","-",NA
"18","1400000US12001001203","Census Tract 12.03, Alachua County, Florida","1641","128","61","87","9","(X)","7.8","3.7","5.3","0.5","42","0","12","30","0","2.6","0.0","19.7","34.5","0.0",NA
"19","1400000US12001001400","Census Tract 14, Alachua County, Florida","976","51","3","0","0","(X)","5.2","0.3","0.0","0.0","3","3","0","0","0","0.3","5.9","0.0","-","-",NA
"20","1400000US12001001514","Census Tract 15.14, Alachua County, Florida","769","102","28","55","12","(X)","13.3","3.6","7.2","1.6","10","5","0","5","0","1.3","4.9","0.0","9.1","0.0",NA
"21","1400000US12001001515","Census Tract 15.15, Alachua County, Florida","2175","349","132","127","42","(X)","16.0","6.1","5.8","1.9","114","25","37","52","0","5.2","7.2","28.0","40.9","0.0",NA
"22","1400000US12001001516","Census Tract 15.16, Alachua County, Florida","983","95","17","78","0","(X)","9.7","1.7","7.9","0.0","20","0","0","20","0","2.0","0.0","0.0","25.6","-",NA
"23","1400000US12001001517","Census Tract 15.17, Alachua County, Florida","1852","312","78","185","0","(X)","16.8","4.2","10.0","0.0","73","13","14","46","0","3.9","4.2","17.9","24.9","-",NA
"24","1400000US12001001519","Census Tract 15.19, Alachua County, Florida","775","103","103","134","0","(X)","13.3","13.3","17.3","0.0","28","0","6","22","0","3.6","0.0","5.8","16.4","-",NA
"25","1400000US12001001520","Census Tract 15.20, Alachua County, Florida","1040","115","32","87","16","(X)","11.1","3.1","8.4","1.5","53","28","0","25","0","5.1","24.3","0.0","28.7","0.0",NA
"26","1400000US12001001521","Census Tract 15.21, Alachua County, Florida","1938","255","163","37","0","(X)","13.2","8.4","1.9","0.0","148","91","31","26","0","7.6","35.7","19.0","70.3","-",NA
"27","1400000US12001001603","Census Tract 16.03, Alachua County, Florida","563","51","18","33","18","(X)","9.1","3.2","5.9","3.2","12","8","4","0","0","2.1","15.7","22.2","0.0","0.0",NA
"28","1400000US12001001604","Census Tract 16.04, Alachua County, Florida","3196","350","297","159","17","(X)","11.0","9.3","5.0","0.5","137","46","36","55","0","4.3","13.1","12.1","34.6","0.0",NA
"29","1400000US12001001701","Census Tract 17.01, Alachua County, Florida","2533","140","79","84","20","(X)","5.5","3.1","3.3","0.8","121","37","0","84","0","4.8","26.4","0.0","100.0","0.0",NA
"30","1400000US12001001702","Census Tract 17.02, Alachua County, Florida","2057","206","103","10","9","(X)","10.0","5.0","0.5","0.4","67","67","0","0","0","3.3","32.5","0.0","0.0","0.0",NA
"31","1400000US12001001801","Census Tract 18.01, Alachua County, Florida","2822","202","71","44","0","(X)","7.2","2.5","1.6","0.0","57","13","0","44","0","2.0","6.4","0.0","100.0","-",NA
"32","1400000US12001001802","Census Tract 18.02, Alachua County, Florida","1207","64","26","30","66","(X)","5.3","2.2","2.5","5.5","44","8","6","30","0","3.6","12.5","23.1","100.0","0.0",NA
"33","1400000US12001001803","Census Tract 18.03, Alachua County, Florida","2848","248","68","57","27","(X)","8.7","2.4","2.0","0.9","56","32","10","14","0","2.0","12.9","14.7","24.6","0.0",NA
"34","1400000US12001001805","Census Tract 18.05, Alachua County, Florida","545","59","19","13","6","(X)","10.8","3.5","2.4","1.1","20","13","0","7","0","3.7","22.0","0.0","53.8","0.0",NA
"35","1400000US12001001806","Census Tract 18.06, Alachua County, Florida","3530","233","89","16","0","(X)","6.6","2.5","0.5","0.0","15","15","0","0","0","0.4","6.4","0.0","0.0","-",NA
"36","1400000US12001001811","Census Tract 18.11, Alachua County, Florida","2869","284","96","118","13","(X)","9.9","3.3","4.1","0.5","20","20","0","0","0","0.7","7.0","0.0","0.0","0.0",NA
"37","1400000US12001001813","Census Tract 18.13, Alachua County, Florida","1382","116","98","141","10","(X)","8.4","7.1","10.2","0.7","47","0","4","43","0","3.4","0.0","4.1","30.5","0.0",NA
"38","1400000US12001001814","Census Tract 18.14, Alachua County, Florida","905","81","39","0","30","(X)","9.0","4.3","0.0","3.3","35","0","35","0","0","3.9","0.0","89.7","-","0.0",NA
"39","1400000US12001001902","Census Tract 19.02, Alachua County, Florida","1193","39","19","0","0","(X)","3.3","1.6","0.0","0.0","34","25","9","0","0","2.8","64.1","47.4","-","-",NA
"40","1400000US12001001907","Census Tract 19.07, Alachua County, Florida","1044","43","12","8","26","(X)","4.1","1.1","0.8","2.5","26","0","0","0","26","2.5","0.0","0.0","0.0","100.0",NA
"41","1400000US12001001908","Census Tract 19.08, Alachua County, Florida","1821","7","10","57","0","(X)","0.4","0.5","3.1","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"42","1400000US12001002000","Census Tract 20, Alachua County, Florida","2307","55","25","14","0","(X)","2.4","1.1","0.6","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","-",NA
"43","1400000US12001002101","Census Tract 21.01, Alachua County, Florida","809","3","10","0","14","(X)","0.4","1.2","0.0","1.7","3","3","0","0","0","0.4","100.0","0.0","-","0.0",NA
"44","1400000US12001002102","Census Tract 21.02, Alachua County, Florida","395","16","4","0","2","(X)","4.1","1.0","0.0","0.5","0","0","0","0","0","0.0","0.0","0.0","-","0.0",NA
"45","1400000US12001002201","Census Tract 22.01, Alachua County, Florida","1987","72","45","12","10","(X)","3.6","2.3","0.6","0.5","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0",NA
"46","1400000US12001002202","Census Tract 22.02, Alachua County, Florida","2131","61","85","0","0","(X)","2.9","4.0","0.0","0.0","0","0","0","0","0","0.0","0.0","0.0","-","-",NA
"47","1400000US12001002204","Census Tract 22.04, Alachua County, Florida","4081","273","215","323","43","(X)","6.7","5.3","7.9","1.1","99","0","27","72","0","2.4","0.0","12.6","22.3","0.0",NA
"48","1400000US12001002205","Census Tract 22.05, Alachua County, Florida","4132","254","324","213","19","(X)","6.1","7.8","5.2","0.5","28","11","0","17","0","0.7","4.3","0.0","8.0","0.0",NA
"49","1400000US12001002207","Census Tract 22.07, Alachua County, Florida","1259","109","68","80","0","(X)","8.7","5.4","6.4","0.0","26","0","0","26","0","2.1","0.0","0.0","32.5","-",NA
"50","1400000US12001002208","Census Tract 22.08, Alachua County, Florida","880","122","51","67","6","(X)","13.9","5.8","7.6","0.7","40","7","7","26","0","4.5","5.7","13.7","38.8","0.0",NA
"51","1400000US12001002209","Census Tract 22.09, Alachua County, Florida","3332","181","58","217","29","(X)","5.4","1.7","6.5","0.9","109","16","0","93","0","3.3","8.8","0.0","42.9","0.0",NA
"52","1400000US12001002210","Census Tract 22.10, Alachua County, Florida","1617","138","71","0","0","(X)","8.5","4.4","0.0","0.0","57","47","10","0","0","3.5","34.1","14.1","-","-",NA
