Year,Geography,Geographic_Area_Name,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_All_households,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Spanish,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_Indo-European_languages,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Asian_and_Pacific_Island_languages,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_Households_speaking_Other_languages,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status,No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Language_status_(speak_a_language_other_than_English),No_one_age_14_and_over_speaks_English_only_or_speaks_English_very_well_Estimate_PERCENT_IMPUTED_Ability_to_speak_English,Estimate_Total_All_households,Estimate_Total_All_households_Households_speaking_--_Spanish,Estimate_Total_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Total_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Total_All_households_Households_speaking_--_Other_languages,Estimate_Percent_All_households,Estimate_Percent_All_households_Households_speaking_--_Spanish,Estimate_Percent_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Percent_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Percent_All_households_Households_speaking_--_Other_languages,Estimate_Limited_English-speaking_households_All_households,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Spanish,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Limited_English-speaking_households_All_households_Households_speaking_--_Other_languages,Estimate_Percent_limited_English-speaking_households_All_households,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Spanish,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_Indo-European_languages,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Asian_and_Pacific_Island_languages,Estimate_Percent_limited_English-speaking_households_All_households_Households_speaking_--_Other_languages
2014,1400000US12001000200,"Census Tract 2, Alachua County, Florida",4.4,5.8,0,24.2,100,5.8,3.7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000301,"Census Tract 3.01, Alachua County, Florida",0.6,11.3,0,0,0,2.5,10.9,21.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000302,"Census Tract 3.02, Alachua County, Florida",2.9,32.7,-,-,-,2.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000400,"Census Tract 4, Alachua County, Florida",0.9,14.4,0,-,-,2,13.5,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000500,"Census Tract 5, Alachua County, Florida",0,0,0,-,0,5.9,5.9,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000600,"Census Tract 6, Alachua County, Florida",0.5,0,21.9,0,0,10.5,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000700,"Census Tract 7, Alachua County, Florida",0,0,0,-,-,5.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000806,"Census Tract 8.06, Alachua County, Florida",9.9,14.5,14.1,52.7,0,6.9,6.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000808,"Census Tract 8.08, Alachua County, Florida",9.6,0,28,62.4,-,5,2.8,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000809,"Census Tract 8.09, Alachua County, Florida",2.3,0,14.3,20.7,0,2.1,4.4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000901,"Census Tract 9.01, Alachua County, Florida",26.4,8.6,13.9,62.6,-,1,1.2,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001000902,"Census Tract 9.02, Alachua County, Florida",0,-,0,0,-,0.7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001000,"Census Tract 10, Alachua County, Florida",0,0,0,0,-,3,0.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001100,"Census Tract 11, Alachua County, Florida",0,0,0,0,-,4.8,2.4,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001201,"Census Tract 12.01, Alachua County, Florida",1.8,4.3,0,33.3,-,2.6,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001202,"Census Tract 12.02, Alachua County, Florida",5.8,37.4,8.3,62.6,-,0.9,1.4,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001203,"Census Tract 12.03, Alachua County, Florida",0,0,0,0,-,6.9,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,1400000US12001001400,"Census Tract 14, Alachua County, Florida",0.8,23.3,0,0,-,2.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
