Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
100%,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",Slower than average,9000
100%,25-1011.00,"Business Teachers, Postsecondary",Faster than average,8100
100%,25-1081.00,"Education Teachers, Postsecondary",Slower than average,5600
100%,25-1123.00,"English Language and Literature Teachers, Postsecondary",Little or no change,5100
100%,25-1022.00,"Mathematical Science Teachers, Postsecondary",Slower than average,4400
100%,25-1032.00,"Engineering Teachers, Postsecondary",Much faster than average,4100
100%,25-1066.00,"Psychology Teachers, Postsecondary",Average,4000
100%,25-1021.00,"Computer Science Teachers, Postsecondary",Faster than average,3500
100%,25-1122.00,"Communications Teachers, Postsecondary",Slower than average,2700
100%,25-1112.00,"Law Teachers, Postsecondary",Slower than average,2200
100%,25-1052.00,"Chemistry Teachers, Postsecondary",Slower than average,1900
100%,25-1125.00,"History Teachers, Postsecondary",Little or no change,1700
100%,25-1065.00,"Political Science Teachers, Postsecondary",Slower than average,1600
100%,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",Slower than average,1500
100%,25-1054.00,"Physics Teachers, Postsecondary",Average,1300
100%,25-1113.00,"Social Work Teachers, Postsecondary",Slower than average,1300
100%,25-1063.00,"Economics Teachers, Postsecondary",Slower than average,1200
100%,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",Slower than average,1100
100%,25-1067.00,"Sociology Teachers, Postsecondary",Slower than average,1100
100%,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",Slower than average,1100
100%,25-1031.00,"Architecture Teachers, Postsecondary",Slower than average,900
100%,25-2023.00,"Career/Technical Education Teachers, Middle School",Decline,900
100%,25-1053.00,"Environmental Science Teachers, Postsecondary",Average,700
100%,25-1082.00,"Library Science Teachers, Postsecondary",Average,400
100%,25-1064.00,"Geography Teachers, Postsecondary",Average,300
100%,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",Average,200
100%,25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",Average,100
99%,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",Decline,66200
99%,25-9044.00,"Teaching Assistants, Postsecondary",Average,24600
99%,,"Special Education Teachers, Kindergarten and Elementary School",Decline,15400
99%,25-2055.00,"Special Education Teachers, Kindergarten",Decline,15400
99%,25-2056.00,"Special Education Teachers, Elementary School",Decline,15400
99%,25-1199.00,"Postsecondary Teachers, All Other",Slower than average,13500
99%,25-2057.00,"Special Education Teachers, Middle School",Decline,6300
99%,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",Slower than average,2000
99%,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",Little or no change,1900
99%,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",Average,1000
99%,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Average,800
99%,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",Average,500
98%,25-2021.00,"Elementary School Teachers, Except Special Education",Decline,91000
98%,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",Decline,40500
98%,25-2058.00,"Special Education Teachers, Secondary School",Decline,11100
98%,25-1042.00,"Biological Science Teachers, Postsecondary",Much faster than average,5400
98%,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",Slower than average,1200
97%,11-9032.00,"Education Administrators, Kindergarten through Secondary",Decline,20800
97%,11-9033.00,"Education Administrators, Postsecondary",Slower than average,15100
97%,25-2012.00,"Kindergarten Teachers, Except Special Education",Decline,12800
97%,25-2032.00,"Career/Technical Education Teachers, Secondary School",Decline,6200
96%,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",Much faster than average,8600
95%,25-1071.00,"Health Specialties Teachers, Postsecondary",Much faster than average,27400
93%,25-1194.00,"Career/Technical Education Teachers, Postsecondary",Slower than average,8800
89%,21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",Average,31000
88%,19-3034.00,School Psychologists,Slower than average,3800
85%,25-9099.00,"Educational Instruction and Library Workers, All Other",Slower than average,12500
83%,,"Teaching Assistants, Except Postsecondary",Decline,170400
83%,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Decline,170400
83%,25-9043.00,"Teaching Assistants, Special Education",Decline,170400
83%,25-9049.00,"Teaching Assistants, All Other",Decline,170400
80%,25-3031.00,"Substitute Teachers, Short-Term",Slower than average,61100
79%,25-2059.00,"Special Education Teachers, All Other",Slower than average,2900
79%,25-2059.01,Adapted Physical Education Specialists,Slower than average,2900
79%,25-9021.00,Farm and Home Management Educators,Decline,1100
78%,25-9031.00,Instructional Coordinators,Slower than average,21900
76%,25-3041.00,Tutors,Slower than average,37100
75%,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Decline,3900
64%,27-2022.00,Coaches and Scouts,Faster than average,41800
62%,11-9039.00,"Education Administrators, All Other",Average,4100
59%,25-2051.00,"Special Education Teachers, Preschool",Slower than average,2100
58%,25-3099.00,"Teachers and Instructors, All Other",Little or no change,18000
56%,25-4022.00,Librarians and Media Collections Specialists,Slower than average,13500
54%,13-2071.00,Credit Counselors,Average,2200
51%,53-3051.00,"Bus Drivers, School",Little or no change,61000
50%,25-3021.00,Self-Enrichment Teachers,Average,51400
49%,19-4061.00,Social Science Research Assistants,Average,5200
44%,33-9094.00,School Bus Monitors,Decline,12600
43%,29-9091.00,Athletic Trainers,Much faster than average,2400
42%,27-2032.00,Choreographers,Faster than average,700
40%,29-1127.00,Speech-Language Pathologists,Much faster than average,13300
34%,33-9099.00,"Protective Service Workers, All Other",Average,23300
34%,33-9099.02,Retail Loss Prevention Specialists,Average,23300
34%,25-4031.00,Library Technicians,Decline,13000
34%,11-2033.00,Fundraising Managers,Average,3600
33%,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",Average,10600
33%,19-4099.01,Quality Control Analysts,Average,10600
33%,19-4099.03,Remote Sensing Technicians,Average,10600
32%,43-9022.00,Word Processors and Typists,Decline,2200
31%,35-2012.00,"Cooks, Institution and Cafeteria",Slower than average,69700
30%,19-1011.00,Animal Scientists,Faster than average,200
28%,43-4121.00,"Library Assistants, Clerical",Decline,12800
28%,19-3041.00,Sociologists,Average,300
27%,43-9199.00,"Office and Administrative Support Workers, All Other",Decline,21300
27%,19-4012.00,Agricultural Technicians,Average,2900
27%,19-4012.01,Precision Agriculture Technicians,Average,2900
26%,19-2011.00,Astronomers,Slower than average,100
24%,13-1131.00,Fundraisers,Average,10200
23%,19-4021.00,Biological Technicians,Average,9100
22%,41-9012.00,Models,Little or no change,1200
22%,19-3022.00,Survey Researchers,Decline,700
22%,15-2021.00,Mathematicians,Decline,100
21%,43-4199.00,"Information and Record Clerks, All Other",Little or no change,17800
21%,43-9111.00,Statistical Assistants,Decline,800
21%,19-1099.00,"Life Scientists, All Other",Average,400
20%,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Decline,202800
19%,39-9041.00,Residential Advisors,Average,17400
19%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,9600
19%,25-4011.00,Archivists,Average,1100
17%,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Slower than average,351300
17%,21-1021.00,"Child, Family, and School Social Workers",Average,35100
17%,27-3091.00,Interpreters and Translators,Slower than average,6900
17%,19-2021.00,Atmospheric and Space Scientists,Slower than average,700
16%,25-2011.00,"Preschool Teachers, Except Special Education",Average,65500
16%,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Decline,50000
16%,51-8021.00,Stationary Engineers and Boiler Operators,Slower than average,3800
16%,13-2031.00,Budget Analysts,Slower than average,3100
15%,21-1091.00,Health Education Specialists,Faster than average,7900
15%,15-2041.00,Statisticians,Much faster than average,2000
15%,15-2041.01,Biostatisticians,Much faster than average,2000
15%,19-2099.00,"Physical Scientists, All Other",Slower than average,2000
15%,19-2099.01,Remote Sensing Scientists and Technologists,Slower than average,2000
