Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
98%,29-1243.00,Pediatric Surgeons,Slower than average,0
97%,31-2021.00,Physical Therapist Assistants,Much faster than average,19800
97%,29-1292.00,Dental Hygienists,Much faster than average,15300
97%,31-2022.00,Physical Therapist Aides,Average,6600
97%,29-1242.00,"Orthopedic Surgeons, Except Pediatric",Average,400
97%,29-1241.00,"Ophthalmologists, Except Pediatric",Average,300
96%,31-9097.00,Phlebotomists,Faster than average,18400
96%,29-1124.00,Radiation Therapists,Slower than average,900
96%,31-2012.00,Occupational Therapy Aides,Average,600
96%,29-1161.00,Nurse Midwives,Much faster than average,500
95%,31-9092.00,Medical Assistants,Much faster than average,112300
95%,31-9091.00,Dental Assistants,Faster than average,52900
95%,29-2055.00,Surgical Technologists,Faster than average,7000
95%,29-2032.00,Diagnostic Medical Sonographers,Much faster than average,5800
94%,29-2031.00,Cardiovascular Technologists and Technicians,Average,3800
93%,29-2057.00,Ophthalmic Medical Technicians,Much faster than average,12500
93%,29-1126.00,Respiratory Therapists,Much faster than average,8800
93%,31-1132.00,Orderlies,Average,7800
93%,29-1211.00,Anesthesiologists,Average,1300
93%,29-1212.00,Cardiologists,Average,600
93%,29-1249.00,"Surgeons, All Other",Average,600
92%,,Home Health and Personal Care Aides,Much faster than average,765800
92%,31-1121.00,Home Health Aides,Much faster than average,765800
92%,31-1122.00,Personal Care Aides,Much faster than average,765800
92%,29-2034.00,Radiologic Technologists and Technicians,Average,12900
92%,29-1151.00,Nurse Anesthetists,Much faster than average,2700
92%,29-2035.00,Magnetic Resonance Imaging Technologists,Much faster than average,2600
92%,29-1221.00,"Pediatricians, General",Slower than average,1200
92%,29-1213.00,Dermatologists,Faster than average,400
91%,29-1215.00,Family Medicine Physicians,Average,3300
91%,29-1214.00,Emergency Medicine Physicians,Average,1000
91%,29-1218.00,Obstetricians and Gynecologists,Slower than average,600
90%,31-1131.00,Nursing Assistants,Slower than average,204100
90%,43-6013.00,Medical Secretaries and Administrative Assistants,Average,85900
90%,29-1171.00,Nurse Practitioners,Much faster than average,29500
90%,29-2053.00,Psychiatric Technicians,Much faster than average,15900
90%,29-1071.00,Physician Assistants,Much faster than average,12000
90%,29-1071.01,Anesthesiologist Assistants,Much faster than average,12000
90%,31-2011.00,Occupational Therapy Assistants,Much faster than average,7200
90%,29-1224.00,Radiologists,Average,800
89%,29-1123.00,Physical Therapists,Much faster than average,13200
89%,31-9093.00,Medical Equipment Preparers,Much faster than average,10900
89%,29-9093.00,Surgical Assistants,Faster than average,1600
89%,29-1081.00,Podiatrists,Slower than average,300
88%,29-2099.00,"Health Technologists and Technicians, All Other",Faster than average,13600
88%,29-2099.01,Neurodiagnostic Technologists,Faster than average,13600
88%,29-2099.05,Ophthalmic Medical Technologists,Faster than average,13600
88%,29-2099.08,Patient Representatives,Faster than average,13600
88%,29-1217.00,Neurologists,Faster than average,300
88%,29-1023.00,Orthodontists,Average,200
87%,29-2051.00,Dietetic Technicians,Average,4000
87%,29-1022.00,Oral and Maxillofacial Surgeons,Average,200
86%,29-1021.00,"Dentists, General",Average,3900
86%,29-1024.00,Prosthodontists,Faster than average,0
85%,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Average,54400
84%,29-1141.00,Registered Nurses,Faster than average,189100
84%,29-1141.01,Acute Care Nurses,Faster than average,189100
84%,29-1141.02,Advanced Practice Psychiatric Nurses,Faster than average,189100
84%,29-1141.03,Critical Care Nurses,Faster than average,189100
84%,29-1141.04,Clinical Nurse Specialists,Faster than average,189100
83%,,Clinical Laboratory Technologists and Technicians,Slower than average,22600
83%,29-2011.00,Medical and Clinical Laboratory Technologists,Slower than average,22600
83%,29-2011.01,Cytogenetic Technologists,Slower than average,22600
83%,29-2011.02,Cytotechnologists,Slower than average,22600
83%,29-2011.04,Histotechnologists,Slower than average,22600
83%,29-2012.00,Medical and Clinical Laboratory Technicians,Slower than average,22600
83%,29-2012.01,Histology Technicians,Slower than average,22600
83%,21-1022.00,Healthcare Social Workers,Much faster than average,18400
83%,29-1216.00,General Internal Medicine Physicians,Average,2100
83%,29-2033.00,Nuclear Medicine Technologists,Average,900
83%,29-1222.00,"Physicians, Pathologists",Average,400
81%,29-1122.00,Occupational Therapists,Much faster than average,10200
81%,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",Much faster than average,10200
81%,19-3033.00,Clinical and Counseling Psychologists,Much faster than average,4800
79%,29-1223.00,Psychiatrists,Faster than average,900
78%,29-1229.00,"Physicians, All Other",Average,9600
78%,29-1229.01,Allergists and Immunologists,Average,9600
78%,29-1229.02,Hospitalists,Average,9600
78%,29-1229.03,Urologists,Average,9600
78%,29-1229.04,Physical Medicine and Rehabilitation Physicians,Average,9600
78%,29-1229.05,Preventive Medicine Physicians,Average,9600
78%,29-1229.06,Sports Medicine Physicians,Average,9600
77%,29-1125.00,Recreational Therapists,Average,1300
76%,,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Much faster than average,48300
76%,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,Much faster than average,48300
76%,21-1014.00,Mental Health Counselors,Much faster than average,48300
76%,21-1013.00,Marriage and Family Therapists,Much faster than average,7700
