Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
85%,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,Decline,2300
79%,27-3023.00,"News Analysts, Reporters, and Journalists",Decline,4100
68%,39-3021.00,Motion Picture Projectionists,Decline,500
67%,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",Decline,13200
67%,27-4012.00,Broadcast Technicians,Decline,1800
59%,49-9052.00,Telecommunications Line Installers and Repairers,Decline,8900
56%,27-2012.00,Producers and Directors,Faster than average,12800
56%,27-2012.03,Media Programming Directors,Faster than average,12800
56%,27-2012.04,Talent Directors,Faster than average,12800
56%,27-2012.05,Media Technical Directors/Managers,Faster than average,12800
50%,27-3041.00,Editors,Slower than average,9800
46%,27-4032.00,Film and Video Editors,Average,3600
44%,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",Slower than average,30800
43%,27-4031.00,"Camera Operators, Television, Video, and Film",Slower than average,2900
42%,27-4014.00,Sound Engineering Technicians,Decline,1200
39%,41-3011.00,Advertising Sales Agents,Decline,9300
39%,27-3099.00,"Media and Communication Workers, All Other",Average,3000
39%,43-9031.00,Desktop Publishers,Decline,400
30%,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",Much faster than average,1200
27%,15-1255.00,Web and Digital Interface Designers,Much faster than average,9100
27%,15-1255.01,Video Game Designers,Much faster than average,9100
25%,27-4015.00,Lighting Technicians,Decline,800
22%,27-1014.00,Special Effects Artists and Animators,Slower than average,5000
22%,27-4099.00,"Media and Communication Equipment Workers, All Other",Slower than average,1100
22%,43-2099.00,"Communications Equipment Operators, All Other",Average,100
21%,39-3092.00,Costume Attendants,Faster than average,1800
20%,15-1252.00,Software Developers,Much faster than average,115200
19%,15-1253.00,Software Quality Assurance Analysts and Testers,Much faster than average,14000
19%,39-5091.00,"Makeup Artists, Theatrical and Performance",Much faster than average,1100
18%,15-1241.00,Computer Network Architects,Much faster than average,11200
18%,15-1241.01,Telecommunications Engineering Specialists,Much faster than average,11200
17%,27-4011.00,Audio and Video Technicians,Average,7300
17%,27-2011.00,Actors,Little or no change,6300
17%,17-2072.00,"Electronics Engineers, Except Computer",Faster than average,5700
17%,17-2072.01,Radio Frequency Identification Device Specialists,Faster than average,5700
17%,19-2021.00,Atmospheric and Space Scientists,Slower than average,700
16%,41-9031.00,Sales Engineers,Faster than average,5000
15%,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Average,123000
15%,15-1231.00,Computer Network Support Specialists,Slower than average,9600
14%,15-1254.00,Web Developers,Much faster than average,5400
13%,11-3021.00,Computer and Information Systems Managers,Much faster than average,55600
13%,15-1243.00,Database Architects,Much faster than average,4000
13%,15-1243.01,Data Warehousing Specialists,Much faster than average,4000
13%,39-3099.00,"Entertainment Attendants and Related Workers, All Other",Average,2200
13%,43-9081.00,Proofreaders and Copy Markers,Decline,1900
12%,27-3042.00,Technical Writers,Slower than average,4500
11%,15-2051.00,Data Scientists,Much faster than average,23400
11%,15-2051.01,Business Intelligence Analysts,Much faster than average,23400
11%,15-2051.02,Clinical Data Managers,Much faster than average,23400
11%,15-1221.00,Computer and Information Research Scientists,Much faster than average,3200
10%,11-2021.00,Marketing Managers,Much faster than average,34300
10%,27-1027.00,Set and Exhibit Designers,Slower than average,2500
10%,11-2011.00,Advertising and Promotions Managers,Decline,2100
