Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
90%,29-2056.00,Veterinary Technologists and Technicians,Much faster than average,14300
88%,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Much faster than average,22200
85%,29-1131.00,Veterinarians,Much faster than average,3000
82%,13-2082.00,Tax Preparers,Faster than average,10400
80%,43-6012.00,Legal Secretaries and Administrative Assistants,Decline,19600
79%,17-1011.00,"Architects, Except Landscape and Naval",Average,7800
76%,23-2011.00,Paralegals and Legal Assistants,Little or no change,39300
75%,17-3011.00,Architectural and Civil Drafters,Average,10000
72%,17-1022.00,Surveyors,Average,3900
72%,17-1022.01,Geodetic Surveyors,Average,3900
64%,17-3031.00,Surveying and Mapping Technicians,Faster than average,7600
63%,19-1021.00,Biochemists and Biophysicists,Faster than average,2900
60%,17-3025.00,Environmental Engineering Technologists and Technicians,Slower than average,1100
60%,19-3091.00,Anthropologists and Archeologists,Average,800
56%,17-2051.00,Civil Engineers,Faster than average,23600
56%,17-2051.01,Transportation Engineers,Faster than average,23600
56%,17-2051.02,Water/Wastewater Engineers,Faster than average,23600
56%,19-3022.00,Survey Researchers,Decline,700
55%,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",Slower than average,1300
54%,23-1011.00,Lawyers,Average,31500
54%,17-1012.00,Landscape Architects,Average,1700
50%,41-3011.00,Advertising Sales Agents,Decline,9300
50%,17-3022.00,Civil Engineering Technologists and Technicians,Slower than average,5500
48%,11-9121.00,Natural Sciences Managers,Average,8500
48%,11-9121.01,Clinical Research Coordinators,Average,8500
48%,11-9121.02,Water Resource Specialists,Average,8500
48%,27-1025.00,Interior Designers,Average,7800
46%,11-2011.00,Advertising and Promotions Managers,Decline,2100
46%,19-2042.00,"Geoscientists, Except Hydrologists and Geographers",Average,2000
46%,19-2012.00,Physicists,Average,1700
45%,17-2081.00,Environmental Engineers,Average,3000
45%,17-2021.00,Agricultural Engineers,Faster than average,100
44%,19-4042.00,"Environmental Science and Protection Technicians, Including Health",Average,5600
44%,15-1221.00,Computer and Information Research Scientists,Much faster than average,3200
44%,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",Slower than average,400
41%,15-1212.00,Information Security Analysts,Much faster than average,16000
41%,15-1253.00,Software Quality Assurance Analysts and Testers,Much faster than average,14000
41%,17-2061.00,Computer Hardware Engineers,Much faster than average,4700
41%,17-2161.00,Nuclear Engineers,Decline,800
41%,19-2032.00,Materials Scientists,Faster than average,600
41%,19-3041.00,Sociologists,Average,300
40%,15-1252.00,Software Developers,Much faster than average,115200
40%,15-1251.00,Computer Programmers,Decline,5500
40%,15-1254.00,Web Developers,Much faster than average,5400
40%,19-1022.00,Microbiologists,Average,1700
39%,47-2142.00,Paperhangers,Faster than average,200
38%,19-4021.00,Biological Technicians,Average,9100
37%,19-1042.00,"Medical Scientists, Except Epidemiologists",Much faster than average,9600
37%,23-2093.00,"Title Examiners, Abstractors, and Searchers",Slower than average,5400
37%,23-1022.00,"Arbitrators, Mediators, and Conciliators",Average,300
37%,19-2011.00,Astronomers,Slower than average,100
36%,11-9041.00,Architectural and Engineering Managers,Average,14500
36%,11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,Average,14500
36%,15-1241.00,Computer Network Architects,Much faster than average,11200
36%,15-1241.01,Telecommunications Engineering Specialists,Much faster than average,11200
36%,19-2041.00,"Environmental Scientists and Specialists, Including Health",Average,8500
36%,19-2041.01,Climate Change Policy Analysts,Average,8500
36%,19-2041.02,Environmental Restoration Planners,Average,8500
36%,19-2041.03,Industrial Ecologists,Average,8500
36%,15-1243.00,Database Architects,Much faster than average,4000
36%,15-1243.01,Data Warehousing Specialists,Much faster than average,4000
36%,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Much faster than average,900
35%,47-4011.00,Construction and Building Inspectors,Decline,14800
35%,47-4011.01,Energy Auditors,Decline,14800
34%,13-1111.00,Management Analysts,Much faster than average,98100
34%,19-1029.00,"Biological Scientists, All Other",Slower than average,4800
34%,19-1029.01,Bioinformatics Scientists,Slower than average,4800
34%,19-1029.02,Molecular and Cellular Biologists,Slower than average,4800
34%,19-1029.03,Geneticists,Slower than average,4800
34%,19-1029.04,Biologists,Slower than average,4800
33%,17-2071.00,Electrical Engineers,Much faster than average,11700
33%,19-4061.00,Social Science Research Assistants,Average,5200
33%,27-3042.00,Technical Writers,Slower than average,4500
32%,13-2011.00,Accountants and Auditors,Faster than average,124200
32%,15-1211.00,Computer Systems Analysts,Much faster than average,34200
32%,15-1211.01,Health Informatics Specialists,Much faster than average,34200
32%,19-4031.00,Chemical Technicians,Average,6700
32%,19-2031.00,Chemists,Faster than average,6300
32%,17-2011.00,Aerospace Engineers,Faster than average,4500
32%,17-1021.00,Cartographers and Photogrammetrists,Faster than average,1000
31%,11-3021.00,Computer and Information Systems Managers,Much faster than average,55600
31%,17-2141.00,Mechanical Engineers,Much faster than average,18100
31%,17-2141.01,Fuel Cell Engineers,Much faster than average,18100
31%,17-2141.02,Automotive Engineers,Much faster than average,18100
31%,15-2041.00,Statisticians,Much faster than average,2000
31%,15-2041.01,Biostatisticians,Much faster than average,2000
31%,17-3012.00,Electrical and Electronics Drafters,Decline,1700
31%,15-2099.00,"Mathematical Science Occupations, All Other",Average,300
31%,15-2099.01,Bioinformatics Technicians,Average,300
30%,27-1024.00,Graphic Designers,Slower than average,20000
30%,41-9011.00,Demonstrators and Product Promoters,Little or no change,14000
30%,19-1013.00,Soil and Plant Scientists,Faster than average,1700
