Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
53%,11-9141.00,"Property, Real Estate, and Community Association Managers",Average,39000
48%,41-2021.00,Counter and Rental Clerks,Average,45900
40%,41-9021.00,Real Estate Brokers,Average,9700
37%,41-9022.00,Real Estate Sales Agents,Average,36600
20%,49-9071.00,"Maintenance and Repair Workers, General",Average,159800
20%,39-6012.00,Concierges,Slower than average,6800
20%,,Property Appraisers and Assessors,Average,6300
20%,13-2022.00,Appraisers of Personal and Business Property,Average,6300
20%,13-2023.00,Appraisers and Assessors of Real Estate,Average,6300
15%,27-4011.00,Audio and Video Technicians,Average,7300
14%,43-4021.00,Correspondence Clerks,Decline,700
13%,53-7199.00,"Material Moving Workers, All Other",Average,3100
11%,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",Faster than average,16500
10%,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Average,52400
