Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
77%,51-8011.00,Nuclear Power Reactor Operators,Decline,400
69%,51-8013.00,Power Plant Operators,Decline,2500
69%,51-8013.03,Biomass Plant Technicians,Decline,2500
69%,51-8013.04,Hydroelectric Plant Technicians,Decline,2500
69%,51-8012.00,Power Distributors and Dispatchers,Decline,800
66%,49-2095.00,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Faster than average,2000
62%,19-4051.00,Nuclear Technicians,Decline,700
62%,19-4051.02,Nuclear Monitoring Technicians,Decline,700
48%,49-9051.00,Electrical Power-Line Installers and Repairers,Much faster than average,10700
47%,49-9012.00,"Control and Valve Installers and Repairers, Except Mechanical Door",Slower than average,3900
41%,51-8092.00,Gas Plant Operators,Decline,1300
36%,49-9081.00,Wind Turbine Service Technicians,Much faster than average,2300
35%,43-5041.00,"Meter Readers, Utilities",Decline,1300
22%,17-2161.00,Nuclear Engineers,Decline,800
14%,47-2231.00,Solar Photovoltaic Installers,Much faster than average,4100
13%,51-8031.00,Water and Wastewater Treatment Plant and System Operators,Decline,10700
12%,17-2071.00,Electrical Engineers,Much faster than average,11700
12%,17-3012.00,Electrical and Electronics Drafters,Decline,1700
