Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
97%,43-3071.00,Tellers,Decline,29800
97%,43-4141.00,New Accounts Clerks,Decline,2300
95%,13-2053.00,Insurance Underwriters,Decline,8200
92%,13-1032.00,"Insurance Appraisers, Auto Damage",Decline,500
89%,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",Average,38100
88%,43-4011.00,Brokerage Clerks,Decline,4100
84%,41-3021.00,Insurance Sales Agents,Average,47000
84%,43-4131.00,Loan Interviewers and Clerks,Decline,13300
83%,13-2072.00,Loan Officers,Slower than average,20300
80%,43-9041.00,Insurance Claims and Policy Processing Clerks,Decline,20300
78%,13-2052.00,Personal Financial Advisors,Much faster than average,24100
78%,15-2011.00,Actuaries,Much faster than average,2400
74%,13-1031.00,"Claims Adjusters, Examiners, and Investigators",Decline,21100
73%,13-2041.00,Credit Analysts,Decline,3700
64%,13-2061.00,Financial Examiners,Much faster than average,5700
60%,13-2054.00,Financial Risk Specialists,Much faster than average,4800
60%,43-3099.00,"Financial Clerks, All Other",Slower than average,4000
43%,13-2051.00,Financial and Investment Analysts,Faster than average,25100
37%,23-2093.00,"Title Examiners, Abstractors, and Searchers",Slower than average,5400
33%,43-4041.00,"Credit Authorizers, Checkers, and Clerks",Decline,1000
31%,11-3031.00,Financial Managers,Much faster than average,74600
31%,11-3031.01,Treasurers and Controllers,Much faster than average,74600
31%,11-3031.03,Investment Fund Managers,Much faster than average,74600
31%,13-2099.00,"Financial Specialists, All Other",Average,10300
31%,13-2099.01,Financial Quantitative Analysts,Average,10300
31%,13-2099.04,"Fraud Examiners, Investigators and Analysts",Average,10300
25%,15-2031.00,Operations Research Analysts,Much faster than average,9600
24%,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",Faster than average,8500
22%,43-3011.00,Bill and Account Collectors,Decline,13700
20%,11-3111.00,Compensation and Benefits Managers,Little or no change,1500
20%,43-9111.00,Statistical Assistants,Decline,800
20%,43-4021.00,Correspondence Clerks,Decline,700
19%,43-4051.00,Customer Service Representatives,Decline,341700
19%,15-2051.00,Data Scientists,Much faster than average,23400
19%,15-2051.01,Business Intelligence Analysts,Much faster than average,23400
19%,15-2051.02,Clinical Data Managers,Much faster than average,23400
16%,15-1212.00,Information Security Analysts,Much faster than average,16000
16%,15-1243.00,Database Architects,Much faster than average,4000
16%,15-1243.01,Data Warehousing Specialists,Much faster than average,4000
15%,41-1012.00,First-Line Supervisors of Non-Retail Sales Workers,Little or no change,24800
14%,15-1211.00,Computer Systems Analysts,Much faster than average,34200
14%,15-1211.01,Health Informatics Specialists,Much faster than average,34200
14%,41-9099.00,"Sales and Related Workers, All Other",Average,16000
13%,43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Little or no change,144500
13%,13-1111.00,Management Analysts,Much faster than average,98100
13%,11-3021.00,Computer and Information Systems Managers,Much faster than average,55600
13%,13-2071.00,Credit Counselors,Average,2200
12%,43-6011.00,Executive Secretaries and Executive Administrative Assistants,Decline,50000
12%,13-1041.00,Compliance Officers,Average,33300
12%,13-1041.01,Environmental Compliance Inspectors,Average,33300
12%,13-1041.03,Equal Opportunity Representatives and Officers,Average,33300
12%,13-1041.04,Government Property Inspectors and Investigators,Average,33300
12%,13-1041.06,Coroners,Average,33300
12%,13-1041.07,Regulatory Affairs Specialists,Average,33300
12%,13-1041.08,Customs Brokers,Average,33300
12%,15-1253.00,Software Quality Assurance Analysts and Testers,Much faster than average,14000
12%,15-1242.00,Database Administrators,Decline,3800
11%,11-2022.00,Sales Managers,Faster than average,49000
11%,15-1241.00,Computer Network Architects,Much faster than average,11200
11%,15-1241.01,Telecommunications Engineering Specialists,Much faster than average,11200
11%,33-9021.00,Private Detectives and Investigators,Faster than average,3900
10%,15-1252.00,Software Developers,Much faster than average,115200
10%,11-2021.00,Marketing Managers,Much faster than average,34300
10%,11-3012.00,Administrative Services Managers,Faster than average,23200
10%,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",Decline,6900
10%,11-3131.00,Training and Development Managers,Faster than average,3800
10%,43-9071.00,"Office Machine Operators, Except Computer",Decline,2800
10%,19-3011.00,Economists,Slower than average,900
10%,19-3011.01,Environmental Economists,Slower than average,900
