Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
100%,43-5052.00,Postal Service Mail Carriers,Decline,20600
100%,33-3021.00,Detectives and Criminal Investigators,Decline,7800
100%,33-3021.02,Police Identification and Records Officers,Decline,7800
100%,33-3021.06,Intelligence Analysts,Decline,7800
100%,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Decline,7800
100%,43-5051.00,Postal Service Clerks,Decline,6100
100%,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",Decline,4300
100%,11-1031.00,Legislators,Average,2200
100%,23-1023.00,"Judges, Magistrate Judges, and Magistrates",Average,900
100%,11-9131.00,Postmasters and Mail Superintendents,Decline,900
100%,33-3031.00,Fish and Game Wardens,Decline,500
99%,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Decline,500
98%,43-4031.00,"Court, Municipal, and License Clerks",Average,18500
98%,21-1092.00,Probation Officers and Correctional Treatment Specialists,Average,7900
98%,33-1011.00,First-Line Supervisors of Correctional Officers,Decline,4300
97%,33-1012.00,First-Line Supervisors of Police and Detectives,Average,10900
97%,23-1012.00,Judicial Law Clerks,Average,1000
96%,33-3012.00,Correctional Officers and Jailers,Decline,30100
96%,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,Average,6500
95%,33-3051.00,Police and Sheriff's Patrol Officers,Average,53700
95%,33-3051.04,Customs and Border Protection Officers,Average,53700
95%,47-4051.00,Highway Maintenance Workers,Average,12300
94%,33-9093.00,Transportation Security Screeners,Decline,4700
94%,53-4041.00,Subway and Streetcar Operators,Average,900
93%,33-2011.00,Firefighters,Average,27100
92%,33-3011.00,Bailiffs,Decline,1800
92%,33-9011.00,Animal Control Workers,Average,1300
91%,53-2021.00,Air Traffic Controllers,Slower than average,2200
90%,43-4061.00,"Eligibility Interviewers, Government Programs",Slower than average,14000
90%,19-4071.00,Forest and Conservation Technicians,Decline,3900
88%,19-4092.00,Forensic Science Technicians,Much faster than average,2900
88%,53-6011.00,Bridge and Lock Tenders,Decline,300
87%,33-2021.00,Fire Inspectors and Investigators,Average,1500
86%,19-3051.00,Urban and Regional Planners,Average,3400
84%,43-5031.00,Public Safety Telecommunicators,Average,10700
82%,33-3052.00,Transit and Railroad Police,Average,200
80%,33-3041.00,Parking Enforcement Workers,Decline,700
79%,19-3092.00,Geographers,Decline,100
76%,33-2022.00,Forest Fire Inspectors and Prevention Specialists,Much faster than average,300
75%,51-8031.00,Water and Wastewater Treatment Plant and System Operators,Decline,10700
74%,11-9161.00,Emergency Management Directors,Average,1000
72%,53-6041.00,Traffic Technicians,Average,800
72%,19-3094.00,Political Scientists,Decline,500
69%,19-1023.00,Zoologists and Wildlife Biologists,Slower than average,1400
69%,19-4044.00,Hydrologic Technicians,Decline,400
66%,19-1031.00,Conservation Scientists,Average,2500
66%,19-1031.02,Range Managers,Average,2500
66%,19-1031.03,Park Naturalists,Average,2500
65%,19-3099.00,"Social Scientists and Related Workers, All Other",Decline,3200
65%,19-3099.01,Transportation Planners,Decline,3200
64%,45-2011.00,Agricultural Inspectors,Slower than average,2200
63%,19-2043.00,Hydrologists,Little or no change,500
62%,43-4121.00,"Library Assistants, Clerical",Decline,12800
60%,19-3093.00,Historians,Slower than average,300
59%,53-3052.00,"Bus Drivers, Transit and Intercity",Average,20900
58%,25-4031.00,Library Technicians,Decline,13000
58%,33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other",Slower than average,2100
57%,21-1029.00,"Social Workers, All Other",Average,7000
56%,19-1041.00,Epidemiologists,Much faster than average,800
55%,23-2099.00,"Legal Support Workers, All Other",Decline,4700
54%,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",Slower than average,2400
54%,29-1299.01,Naturopathic Physicians,Slower than average,2400
54%,29-1299.02,Orthoptists,Slower than average,2400
52%,19-3011.00,Economists,Slower than average,900
52%,19-3011.01,Environmental Economists,Slower than average,900
52%,15-2021.00,Mathematicians,Decline,100
51%,43-4199.00,"Information and Record Clerks, All Other",Little or no change,17800
51%,27-3092.00,Court Reporters and Simultaneous Captioners,Little or no change,1700
51%,33-9031.00,Gambling Surveillance Officers and Gambling Investigators,Little or no change,1300
50%,13-2031.00,Budget Analysts,Slower than average,3100
50%,17-1021.00,Cartographers and Photogrammetrists,Faster than average,1000
48%,43-5041.00,"Meter Readers, Utilities",Decline,1300
47%,19-2041.00,"Environmental Scientists and Specialists, Including Health",Average,8500
47%,19-2041.01,Climate Change Policy Analysts,Average,8500
47%,19-2041.02,Environmental Restoration Planners,Average,8500
47%,19-2041.03,Industrial Ecologists,Average,8500
46%,43-2099.00,"Communications Equipment Operators, All Other",Average,100
45%,53-6051.00,Transportation Inspectors,Slower than average,2500
45%,53-6051.01,Aviation Inspectors,Slower than average,2500
45%,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Slower than average,2500
45%,19-1032.00,Foresters,Slower than average,1100
44%,43-3041.00,Gambling Cage Workers,Decline,1300
43%,17-3022.00,Civil Engineering Technologists and Technicians,Slower than average,5500
43%,41-2012.00,Gambling Change Persons and Booth Cashiers,Decline,4000
42%,47-4011.00,Construction and Building Inspectors,Decline,14800
42%,47-4011.01,Energy Auditors,Decline,14800
42%,43-9022.00,Word Processors and Typists,Decline,2200
42%,45-4011.00,Forest and Conservation Workers,Decline,2000
41%,,Property Appraisers and Assessors,Average,6300
41%,13-2022.00,Appraisers of Personal and Business Property,Average,6300
41%,13-2023.00,Appraisers and Assessors of Real Estate,Average,6300
41%,19-2099.00,"Physical Scientists, All Other",Slower than average,2000
41%,19-2099.01,Remote Sensing Scientists and Technologists,Slower than average,2000
39%,21-1021.00,"Child, Family, and School Social Workers",Average,35100
39%,33-9091.00,Crossing Guards and Flaggers,Average,18000
38%,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Faster than average,42700
38%,29-2043.00,Paramedics,Faster than average,4900
38%,19-1029.00,"Biological Scientists, All Other",Slower than average,4800
38%,19-1029.01,Bioinformatics Scientists,Slower than average,4800
38%,19-1029.02,Molecular and Cellular Biologists,Slower than average,4800
38%,19-1029.03,Geneticists,Slower than average,4800
38%,19-1029.04,Biologists,Slower than average,4800
38%,29-1029.00,"Dentists, All Other Specialists",Little or no change,200
37%,13-1041.00,Compliance Officers,Average,33300
37%,13-1041.01,Environmental Compliance Inspectors,Average,33300
37%,13-1041.03,Equal Opportunity Representatives and Officers,Average,33300
37%,13-1041.04,Government Property Inspectors and Investigators,Average,33300
37%,13-1041.06,Coroners,Average,33300
37%,13-1041.07,Regulatory Affairs Specialists,Average,33300
37%,13-1041.08,Customs Brokers,Average,33300
35%,39-9032.00,Recreation Workers,Average,68100
35%,37-3019.00,"Grounds Maintenance Workers, All Other",Slower than average,1900
35%,11-9071.00,Gambling Managers,Slower than average,600
34%,25-4022.00,Librarians and Media Collections Specialists,Slower than average,13500
34%,19-2021.00,Atmospheric and Space Scientists,Slower than average,700
32%,17-2081.00,Environmental Engineers,Average,3000
32%,27-4099.00,"Media and Communication Equipment Workers, All Other",Slower than average,1100
32%,23-1022.00,"Arbitrators, Mediators, and Conciliators",Average,300
