Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
95%,21-2021.00,"Directors, Religious Activities and Education",Slower than average,13800
94%,39-4021.00,Funeral Attendants,Average,5700
94%,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",Average,3200
93%,39-4011.00,Embalmers,Slower than average,600
91%,21-2099.00,"Religious Workers, All Other",Slower than average,11100
90%,39-4012.00,Crematory Operators,Average,600
84%,51-6021.00,"Pressers, Textile, Garment, and Related Materials",Decline,2800
82%,21-2011.00,Clergy,Slower than average,23000
80%,49-3022.00,Automotive Glass Installers and Repairers,Average,1400
77%,13-1075.00,Labor Relations Specialists,Little or no change,5100
71%,39-5092.00,Manicurists and Pedicurists,Much faster than average,24800
65%,49-3021.00,Automotive Body and Related Repairers,Slower than average,14600
55%,39-5094.00,Skincare Specialists,Much faster than average,14500
55%,27-2041.00,Music Directors and Composers,Little or no change,4300
54%,53-6021.00,Parking Attendants,Average,18500
49%,51-6011.00,Laundry and Dry-Cleaning Workers,Faster than average,31900
48%,39-5093.00,Shampooers,Faster than average,2700
47%,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists",Faster than average,75800
42%,11-9171.00,Funeral Home Managers,Average,2600
40%,39-2021.00,Animal Caretakers,Much faster than average,74600
40%,53-6031.00,Automotive and Watercraft Service Attendants,Decline,14400
39%,13-1131.00,Fundraisers,Average,10200
38%,53-7061.00,Cleaners of Vehicles and Equipment,Average,56200
36%,11-2033.00,Fundraising Managers,Average,3600
35%,27-2042.00,Musicians and Singers,Slower than average,19400
35%,49-9031.00,Home Appliance Repairers,Average,3100
31%,31-9011.00,Massage Therapists,Much faster than average,24700
30%,49-3023.00,Automotive Service Technicians and Mechanics,Average,70000
30%,39-1022.00,First-Line Supervisors of Personal Service Workers,Much faster than average,16300
27%,39-9099.00,"Personal Care and Service Workers, All Other",Faster than average,16100
26%,39-9011.00,Childcare Workers,Decline,160200
26%,39-9011.01,Nannies,Decline,160200
26%,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",Slower than average,1000
25%,51-6093.00,Upholsterers,Decline,2200
24%,37-2012.00,Maids and Housekeeping Cleaners,Little or no change,193500
24%,39-5011.00,Barbers,Average,8400
23%,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",Faster than average,4200
23%,49-3051.00,Motorboat Mechanics and Service Technicians,Faster than average,2600
23%,49-2092.00,"Electric Motor, Power Tool, and Related Repairers",Average,1700
21%,39-2011.00,Animal Trainers,Faster than average,7100
20%,49-9098.00,"Helpers--Installation, Maintenance, and Repair Workers",Slower than average,11800
20%,19-1031.00,Conservation Scientists,Average,2500
20%,19-1031.02,Range Managers,Average,2500
20%,19-1031.03,Park Naturalists,Average,2500
19%,27-3031.00,Public Relations Specialists,Faster than average,27600
19%,13-1121.00,"Meeting, Convention, and Event Planners",Faster than average,15500
19%,11-2032.00,Public Relations Managers,Faster than average,6600
18%,51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",Slower than average,15800
18%,39-3019.00,"Gambling Service Workers, All Other",Decline,2600
18%,11-9179.00,"Personal Service Managers, All Other",Much faster than average,2100
18%,11-9179.01,Fitness and Wellness Coordinators,Much faster than average,2100
18%,11-9179.02,Spa Managers,Much faster than average,2100
17%,49-9063.00,Musical Instrument Repairers and Tuners,Slower than average,600
16%,49-9062.00,Medical Equipment Repairers,Much faster than average,7300
16%,39-6011.00,Baggage Porters and Bellhops,Decline,4600
16%,49-3092.00,Recreational Vehicle Service Technicians,Much faster than average,2800
15%,25-2011.00,"Preschool Teachers, Except Special Education",Average,65500
15%,21-1099.00,"Community and Social Service Specialists, All Other",Faster than average,13100
15%,49-2011.00,"Computer, Automated Teller, and Office Machine Repairers",Decline,7600
14%,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Faster than average,42700
14%,49-9081.00,Wind Turbine Service Technicians,Much faster than average,2300
13%,43-4171.00,Receptionists and Information Clerks,Little or no change,128500
13%,39-9031.00,Exercise Trainers and Group Fitness Instructors,Much faster than average,74200
13%,41-2021.00,Counter and Rental Clerks,Average,45900
13%,39-6012.00,Concierges,Slower than average,6800
13%,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",Decline,5000
13%,25-4011.00,Archivists,Average,1100
13%,49-9064.00,Watch and Clock Repairers,Decline,100
12%,25-3021.00,Self-Enrichment Teachers,Average,51400
12%,49-9041.00,Industrial Machinery Mechanics,Much faster than average,45700
12%,11-9151.00,Social and Community Service Managers,Faster than average,18600
12%,27-4011.00,Audio and Video Technicians,Average,7300
12%,49-3052.00,Motorcycle Mechanics,Faster than average,1500
12%,49-2096.00,"Electronic Equipment Installers and Repairers, Motor Vehicles",Decline,600
11%,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Decline,202800
11%,39-9032.00,Recreation Workers,Average,68100
11%,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers",Average,52400
11%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Slower than average,26500
11%,11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",Decline,5500
11%,49-9061.00,Camera and Photographic Equipment Repairers,Decline,200
10%,13-1051.00,Cost Estimators,Decline,16900
10%,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Decline,4700
10%,45-4011.00,Forest and Conservation Workers,Decline,2000
10%,37-3019.00,"Grounds Maintenance Workers, All Other",Slower than average,1900
10%,27-4014.00,Sound Engineering Technicians,Decline,1200
