Employed by this Industry,Code,Occupation,Projected Growth (2024-2034),Projected Job Openings (2024-2034)
99%,53-2031.00,Flight Attendants,Much faster than average,19800
97%,53-4011.00,Locomotive Engineers,Slower than average,2200
97%,53-1041.00,Aircraft Cargo Handling Supervisors,Faster than average,1100
94%,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Average,11700
92%,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Slower than average,1000
90%,43-5011.00,Cargo and Freight Agents,Much faster than average,8800
90%,43-5011.01,Freight Forwarders,Much faster than average,8800
88%,53-6032.00,Aircraft Service Attendants,Faster than average,4300
88%,53-4031.00,Railroad Conductors and Yardmasters,Slower than average,3100
84%,53-6061.00,Passenger Attendants,Faster than average,4100
84%,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",Little or no change,200
81%,49-3043.00,Rail Car Repairers,Average,1500
75%,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Average,14400
72%,53-5011.00,Sailors and Marine Oilers,Slower than average,3900
66%,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",Slower than average,4300
66%,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,Slower than average,1100
65%,53-5031.00,Ship Engineers,Slower than average,1100
63%,53-2022.00,Airfield Operations Specialists,Average,1600
62%,49-3011.00,Aircraft Mechanics and Service Technicians,Average,11300
62%,53-4099.00,"Rail Transportation Workers, All Other",Average,200
58%,53-2012.00,Commercial Pilots,Faster than average,6600
58%,49-9097.00,Signal and Track Switch Repairers,Slower than average,800
57%,53-7121.00,"Tank Car, Truck, and Ship Loaders",Average,1300
52%,53-3032.00,Heavy and Tractor-Trailer Truck Drivers,Average,237600
48%,53-7051.00,Industrial Truck and Tractor Operators,Slower than average,76400
44%,53-3033.00,Light Truck Drivers,Much faster than average,120200
44%,33-9094.00,School Bus Monitors,Decline,12600
43%,53-6099.00,"Transportation Workers, All Other",Average,1200
42%,53-3053.00,Shuttle Drivers and Chauffeurs,Much faster than average,36300
41%,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",Decline,18500
41%,53-7011.00,Conveyor Operators and Tenders,Decline,2600
37%,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Decline,600
36%,53-3051.00,"Bus Drivers, School",Little or no change,61000
36%,53-3052.00,"Bus Drivers, Transit and Intercity",Average,20900
36%,49-2091.00,Avionics Technicians,Much faster than average,1800
35%,49-2093.00,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Faster than average,600
33%,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",Slower than average,384300
33%,53-7062.04,Recycling and Reclamation Workers,Slower than average,384300
32%,,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",Average,61300
32%,53-1042.00,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",Average,61300
32%,53-1042.01,Recycling Coordinators,Average,61300
32%,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,Average,61300
32%,53-1044.00,First-Line Supervisors of Passenger Attendants,Average,61300
32%,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",Average,61300
31%,11-3071.00,"Transportation, Storage, and Distribution Managers",Faster than average,18500
31%,11-3071.04,Supply Chain Managers,Faster than average,18500
31%,51-8092.00,Gas Plant Operators,Decline,1300
31%,53-5022.00,Motorboat Operators,Slower than average,300
29%,53-6051.00,Transportation Inspectors,Slower than average,2500
29%,53-6051.01,Aviation Inspectors,Slower than average,2500
29%,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Slower than average,2500
28%,49-3031.00,Bus and Truck Mechanics and Diesel Engine Specialists,Slower than average,26500
27%,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Decline,5300
27%,19-5012.00,Occupational Health and Safety Technicians,Much faster than average,3400
23%,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",Decline,3200
20%,53-7041.00,Hoist and Winch Operators,Decline,300
19%,53-7063.00,Machine Feeders and Offbearers,Decline,4700
19%,39-6011.00,Baggage Porters and Bellhops,Decline,4600
19%,53-7072.00,"Pump Operators, Except Wellhead Pumpers",Average,1500
17%,33-3052.00,Transit and Railroad Police,Average,200
15%,53-7064.00,"Packers and Packagers, Hand",Decline,74000
15%,43-5071.00,"Shipping, Receiving, and Inventory Clerks",Decline,69300
15%,49-9092.00,Commercial Divers,Much faster than average,400
14%,53-7065.00,Stockers and Order Fillers,Much faster than average,472300
14%,53-7199.00,"Material Moving Workers, All Other",Average,3100
13%,53-7021.00,Crane and Tower Operators,Average,3800
11%,13-1081.00,Logisticians,Much faster than average,26400
11%,13-1081.01,Logistics Engineers,Much faster than average,26400
11%,13-1081.02,Logistics Analysts,Much faster than average,26400
11%,53-6011.00,Bridge and Lock Tenders,Decline,300
