"","Category","Q1","Q2","Q3","Total","prop"
"1","Utilities",685.6,685,683.1,2053.7,0.0223543651804394
"2","Transportation and warehousing",1873.4,1876.1,1922.2,5671.7,0.0617360145074246
"3","Information",2785.8,2838.6,2872.2,8496.6,0.0924848318606033
"4","Finance and insurance",4307.2,4354.1,4489,13150.3,0.143139995341253
"5","Real estate and rental and leasing",6029.4,6093.1,6144.4,18266.9,0.198833789411583
"6","Professional, scientific, and technical services",3587.1,3646,3752.9,10986,0.119581757740813
"7","Educational services",513.1,519.9,522.5,1555.5,0.0169314968292221
"8","Health care and social assistance",3731.4,3802.1,3894.3,11427.8,0.124390716467364
"9","Other services, except government",1106.5,1102.9,1126.4,3335.8,0.0363099242191701
"10","Government",5586,5623.9,5716,16925.9,0.184237108442128
