"Category","language","index"
"Health care and social assistance","Spanish",3.76222356652607
"Other services, except government","Spanish",2.06555411010216
"Government","Spanish",1.95024898184621
"Health care and social assistance","Tagalog",1.66067568105637
"Health care and social assistance","French",1.58696014558869
"Finance and insurance","Spanish",1.54665396280222
"Health care and social assistance","Portuguese",1.50074023094535
"Health care and social assistance","Chinese",1.44598449879983
"Health care and social assistance","Haitian",1.43794851474505
"Professional, scientific, and technical services","Spanish",1.39822758363961
"Health care and social assistance","Russian",1.35861220570341
"Real estate and rental and leasing","French",1.33418036934088
"Real estate and rental and leasing","Chinese",1.20433899073695
"Educational services","Spanish",1.19815489630381
"Health care and social assistance","German",1.14081181531165
"Real estate and rental and leasing","Spanish",1.14060860199299
"Health care and social assistance","Hindi",1.13668230932084
"Real estate and rental and leasing","German",1.11247133506387
"Health care and social assistance","Vietnamese",1.00257145104737
"Other services, except government","Haitian",0.999669176982043
"Transportation and warehousing","Spanish",0.965047230457455
"Other services, except government","Arabic",0.839683002917067
"Government","Arabic",0.766191492621293
"Real estate and rental and leasing","Russian",0.715676227503538
"Health care and social assistance","Korean",0.702639397564552
"Health care and social assistance","Arabic",0.686729531209656
"Professional, scientific, and technical services","German",0.683627025476993
"Real estate and rental and leasing","Haitian",0.657455451954175
"Other services, except government","Japanese",0.645333009274966
"Professional, scientific, and technical services","French",0.640464418635576
"Finance and insurance","Tagalog",0.639358352401938
"Professional, scientific, and technical services","Haitian",0.636114220985457
"Other services, except government","French",0.626450107041562
"Real estate and rental and leasing","Vietnamese",0.605043071174044
"Government","Portuguese",0.598578292194271
"Utilities","Spanish",0.59568857377466
"Finance and insurance","Haitian",0.592897421097287
"Government","Japanese",0.584199346586778
"Government","French",0.566641044417449
"Government","Haitian",0.562663005828795
"Professional, scientific, and technical services","Chinese",0.559059477796968
"Utilities","Japanese",0.556009657222905
"Real estate and rental and leasing","Korean",0.551205859118888
"Other services, except government","Chinese",0.546378101134353
"Finance and insurance","Vietnamese",0.544336697936941
"Utilities","Haitian",0.535257352247067
"Health care and social assistance","Japanese",0.518971146988075
"Government","Vietnamese",0.515988007697353
"Educational services","Haitian",0.515817385534505
"Government","Chinese",0.4924510867862
"Government","Korean",0.468328818955542
"Utilities","Chinese",0.467717380753108
"Real estate and rental and leasing","Arabic",0.0139384817314286
"Professional, scientific, and technical services","Arabic",0.0133317145832175
"Information","Arabic",0.0130325696825676
"Finance and insurance","Arabic",0.0121408771426357
"Transportation and warehousing","Arabic",0.010657379530751
"Utilities","Arabic",0.0106285809451289
"Educational services","Arabic",0.0101373881611373
"Real estate and rental and leasing","Tagalog",0.0101340745403241
"Real estate and rental and leasing","Hindi",0.0100463821462954
"Real estate and rental and leasing","Portuguese",0.00993951662805011
"Professional, scientific, and technical services","Russian",0.00984984471367724
"Information","Spanish",0.0098489440626012
"Professional, scientific, and technical services","Tagalog",0.00969211821145945
"Information","Russian",0.00962845231007592
"Real estate and rental and leasing","Japanese",0.00962598629966636
"Professional, scientific, and technical services","Hindi",0.00960823181874485
"Other services, except government","Russian",0.00956139532384149
"Professional, scientific, and technical services","Portuguese",0.009506004880141
"Information","Tagalog",0.00947425421702348
"Information","German",0.00944920447884109
"Other services, except government","Tagalog",0.00940826609342057
"Information","Hindi",0.00939224462035521
"Other services, except government","German",0.00938339000921564
"Other services, except government","Hindi",0.00932682503345065
"Information","Portuguese",0.00929230502017581
"Other services, except government","Portuguese",0.00922757833344547
"Professional, scientific, and technical services","Japanese",0.0092060863124447
"Information","Japanese",0.0089990984810417
"Finance and insurance","Russian",0.00896862692902852
"Finance and insurance","German",0.00880160873374062
"Finance and insurance","Hindi",0.00874853553312447
"Finance and insurance","Portuguese",0.00865541581343536
"Information","French",0.00864661717380604
"Information","Haitian",0.00856759764869286
"Finance and insurance","Japanese",0.00838222135999275
"Government","Russian",0.00837394364124208
"Government","Tagalog",0.00823975362276499
"Government","German",0.00821795448328591
"Government","Hindi",0.00816838632877272
"Finance and insurance","French",0.00805380502867255
"Transportation and warehousing","Russian",0.007871222879234
"Utilities","Russian",0.00784992357679818
"Professional, scientific, and technical services","Vietnamese",0.00783948783639961
"Transportation and warehousing","Tagalog",0.00774505765523882
"Transportation and warehousing","German",0.00772456223748568
"Utilities","Tagalog",0.0077240984354293
"Utilities","German",0.00770365826780803
"Transportation and warehousing","Hindi",0.00767795866091475
"Information","Vietnamese",0.00766310872595823
"Utilities","Hindi",0.00765718032614417
"Other services, except government","Vietnamese",0.00760968726906752
"Transportation and warehousing","Portuguese",0.00759619096523384
"Utilities","Portuguese",0.0075756330756567
"Educational services","Russian",0.00748666423425822
"Educational services","Tagalog",0.00736664029548879
"Transportation and warehousing","Japanese",0.00735630641462295
"Educational services","German",0.00734714259313742
"Educational services","Hindi",0.00730280774759311
"Educational services","Portuguese",0.00722502086732462
"Information","Chinese",0.00722246765674593
"Transportation and warehousing","French",0.00706794362658807
"Utilities","French",0.00704881032180267
"Transportation and warehousing","Haitian",0.00700330077666537
"Educational services","Japanese",0.00699681675141882
"Professional, scientific, and technical services","Korean",0.00693746072135237
"Information","Korean",0.00678130739705707
"Other services, except government","Korean",0.00673401252100849
"Finance and insurance","Chinese",0.00672696706292855
"Educational services","French",0.00672249842400896
"Finance and insurance","Korean",0.00631597730439906
"Transportation and warehousing","Vietnamese",0.00626343921177188
"Utilities","Vietnamese",0.00624647694809522
"Educational services","Vietnamese",0.00595719707588807
"Transportation and warehousing","Chinese",0.0059030440023934
"Educational services","Chinese",0.0056143734635827
"Transportation and warehousing","Korean",0.0055422531285764
"Utilities","Korean",0.00552723854378265
"Educational services","Korean",0.00527117951290309
