"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S0501_C01_001E","Total!!Estimate!!Total population"
"S0501_C01_001M","Total!!Margin of Error!!Total population"
"S0501_C02_001E","Native!!Estimate!!Total population"
"S0501_C02_001M","Native!!Margin of Error!!Total population"
"S0501_C03_001E","Foreign born!!Estimate!!Total population"
"S0501_C03_001M","Foreign born!!Margin of Error!!Total population"
"S0501_C04_001E","Foreign born; Naturalized citizen!!Estimate!!Total population"
"S0501_C04_001M","Foreign born; Naturalized citizen!!Margin of Error!!Total population"
"S0501_C05_001E","Foreign born; Not a U.S. citizen!!Estimate!!Total population"
"S0501_C05_001M","Foreign born; Not a U.S. citizen!!Margin of Error!!Total population"
"S0501_C01_002E","Total!!Estimate!!SEX AND AGE!!Male"
"S0501_C01_002M","Total!!Margin of Error!!SEX AND AGE!!Male"
"S0501_C02_002E","Native!!Estimate!!SEX AND AGE!!Male"
"S0501_C02_002M","Native!!Margin of Error!!SEX AND AGE!!Male"
"S0501_C03_002E","Foreign born!!Estimate!!SEX AND AGE!!Male"
"S0501_C03_002M","Foreign born!!Margin of Error!!SEX AND AGE!!Male"
"S0501_C04_002E","Foreign born; Naturalized citizen!!Estimate!!SEX AND AGE!!Male"
"S0501_C04_002M","Foreign born; Naturalized citizen!!Margin of Error!!SEX AND AGE!!Male"
"S0501_C05_002E","Foreign born; Not a U.S. citizen!!Estimate!!SEX AND AGE!!Male"
"S0501_C05_002M","Foreign born; Not a U.S. citizen!!Margin of Error!!SEX AND AGE!!Male"
"S0501_C01_003E","Total!!Estimate!!SEX AND AGE!!Female"
"S0501_C01_003M","Total!!Margin of Error!!SEX AND AGE!!Female"
"S0501_C02_003E","Native!!Estimate!!SEX AND AGE!!Female"
"S0501_C02_003M","Native!!Margin of Error!!SEX AND AGE!!Female"
"S0501_C03_003E","Foreign born!!Estimate!!SEX AND AGE!!Female"
"S0501_C03_003M","Foreign born!!Margin of Error!!SEX AND AGE!!Female"
"S0501_C04_003E","Foreign born; Naturalized citizen!!Estimate!!SEX AND AGE!!Female"
"S0501_C04_003M","Foreign born; Naturalized citizen!!Margin of Error!!SEX AND AGE!!Female"
"S0501_C05_003E","Foreign born; Not a U.S. citizen!!Estimate!!SEX AND AGE!!Female"
"S0501_C05_003M","Foreign born; Not a U.S. citizen!!Margin of Error!!SEX AND AGE!!Female"
"S0501_C01_004E","Total!!Estimate!!Under 5 years"
"S0501_C01_004M","Total!!Margin of Error!!Under 5 years"
"S0501_C02_004E","Native!!Estimate!!Under 5 years"
"S0501_C02_004M","Native!!Margin of Error!!Under 5 years"
"S0501_C03_004E","Foreign born!!Estimate!!Under 5 years"
"S0501_C03_004M","Foreign born!!Margin of Error!!Under 5 years"
"S0501_C04_004E","Foreign born; Naturalized citizen!!Estimate!!Under 5 years"
"S0501_C04_004M","Foreign born; Naturalized citizen!!Margin of Error!!Under 5 years"
"S0501_C05_004E","Foreign born; Not a U.S. citizen!!Estimate!!Under 5 years"
"S0501_C05_004M","Foreign born; Not a U.S. citizen!!Margin of Error!!Under 5 years"
"S0501_C01_005E","Total!!Estimate!!5 to 17 years"
"S0501_C01_005M","Total!!Margin of Error!!5 to 17 years"
"S0501_C02_005E","Native!!Estimate!!5 to 17 years"
"S0501_C02_005M","Native!!Margin of Error!!5 to 17 years"
"S0501_C03_005E","Foreign born!!Estimate!!5 to 17 years"
"S0501_C03_005M","Foreign born!!Margin of Error!!5 to 17 years"
"S0501_C04_005E","Foreign born; Naturalized citizen!!Estimate!!5 to 17 years"
"S0501_C04_005M","Foreign born; Naturalized citizen!!Margin of Error!!5 to 17 years"
"S0501_C05_005E","Foreign born; Not a U.S. citizen!!Estimate!!5 to 17 years"
"S0501_C05_005M","Foreign born; Not a U.S. citizen!!Margin of Error!!5 to 17 years"
"S0501_C01_006E","Total!!Estimate!!18 to 24 years"
"S0501_C01_006M","Total!!Margin of Error!!18 to 24 years"
"S0501_C02_006E","Native!!Estimate!!18 to 24 years"
"S0501_C02_006M","Native!!Margin of Error!!18 to 24 years"
"S0501_C03_006E","Foreign born!!Estimate!!18 to 24 years"
"S0501_C03_006M","Foreign born!!Margin of Error!!18 to 24 years"
