"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B16003_001E","Estimate!!Total:"
"B16003_001M","Margin of Error!!Total:"
"B16003_002E","Estimate!!Total:!!5 to 17 years:"
"B16003_002M","Margin of Error!!Total:!!5 to 17 years:"
"B16003_003E","Estimate!!Total:!!5 to 17 years:!!Speak only English"
"B16003_003M","Margin of Error!!Total:!!5 to 17 years:!!Speak only English"
"B16003_004E","Estimate!!Total:!!5 to 17 years:!!Speak Spanish"
"B16003_004M","Margin of Error!!Total:!!5 to 17 years:!!Speak Spanish"
"B16003_005E","Estimate!!Total:!!5 to 17 years:!!Speak other Indo-European languages"
"B16003_005M","Margin of Error!!Total:!!5 to 17 years:!!Speak other Indo-European languages"
"B16003_006E","Estimate!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages"
"B16003_006M","Margin of Error!!Total:!!5 to 17 years:!!Speak Asian and Pacific Island languages"
"B16003_007E","Estimate!!Total:!!5 to 17 years:!!Speak other languages"
"B16003_007M","Margin of Error!!Total:!!5 to 17 years:!!Speak other languages"
"B16003_008E","Estimate!!Total:!!18 years and over:"
"B16003_008M","Margin of Error!!Total:!!18 years and over:"
"B16003_009E","Estimate!!Total:!!18 years and over:!!Speak Spanish"
"B16003_009M","Margin of Error!!Total:!!18 years and over:!!Speak Spanish"
"B16003_010E","Estimate!!Total:!!18 years and over:!!Speak other Indo-European languages"
"B16003_010M","Margin of Error!!Total:!!18 years and over:!!Speak other Indo-European languages"
"B16003_011E","Estimate!!Total:!!18 years and over:!!Speak Asian and Pacific Island languages"
"B16003_011M","Margin of Error!!Total:!!18 years and over:!!Speak Asian and Pacific Island languages"
"B16003_012E","Estimate!!Total:!!18 years and over:!!Speak other languages"
"B16003_012M","Margin of Error!!Total:!!18 years and over:!!Speak other languages"
