Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Purchased Service Inputs
Contributions to Percent Change by Industry in the Chain-Type Quantity Index for All Industries Purchased Service Inputs
"Last Revised on: January 22, 2026"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
1,Percent change:,,,,,,,,
2,"        All industries",2.8,3.1,2.9,-2.9,9.0,5.3,4.3,2.1
3,Percentage points:,,,,,,,,
4,Private industries,3.33,2.74,1.96,-3.71,9.02,5.31,3.62,1.86
5,"    Agriculture, forestry, fishing, and hunting",-0.08,-0.05,0.00,0.05,-0.06,-0.04,0.04,0.02
6,"        Farms",-0.08,-0.04,0.00,0.05,-0.07,-0.04,0.04,0.02
7,"        Forestry, fishing, and related activities",0.00,-0.01,-0.01,0.00,0.00,0.00,0.01,0.00
8,"    Mining",0.13,0.40,0.03,-0.47,0.19,0.51,-0.25,-0.08
9,"        Oil and gas extraction",0.07,0.34,-0.03,-0.20,0.23,0.46,-0.31,-0.05
10,"        Mining, except oil and gas",-0.03,0.02,0.01,-0.05,0.00,0.04,0.01,-0.01
11,"        Support activities for mining",0.08,0.04,0.06,-0.22,-0.05,0.01,0.05,-0.03
12,"    Utilities",-0.11,0.02,-0.17,-0.26,0.08,0.03,-0.15,0.06
13,"    Construction",-0.34,0.00,0.03,0.25,-0.07,0.10,0.43,0.19
14,"    Manufacturing",0.49,-0.10,0.20,-0.39,-0.25,0.18,0.22,-0.28
15,"        Durable goods",0.15,-0.07,-0.01,-0.23,-0.01,0.16,0.14,-0.09
16,"            Wood products",0.00,0.01,0.01,0.00,0.02,0.01,0.01,-0.01
17,"            Nonmetallic mineral products",0.00,0.01,0.00,-0.01,-0.01,0.02,0.02,-0.01
18,"            Primary metals",0.01,0.02,0.00,-0.03,0.03,0.00,0.02,0.01
19,"            Fabricated metal products",0.00,0.00,0.02,-0.05,0.02,0.04,0.00,-0.02
20,"            Machinery",0.07,-0.03,0.01,-0.05,-0.01,0.01,-0.01,-0.03
21,"            Computer and electronic products",0.01,-0.03,0.00,-0.03,-0.04,0.06,0.00,0.04
22,"            Electrical equipment, appliances, and components",0.00,-0.01,0.01,0.00,0.00,0.02,0.02,0.00
23,"            Motor vehicles, bodies and trailers, and parts",0.01,0.01,0.06,-0.01,0.02,0.01,0.05,-0.05
24,"            Other transportation equipment",0.07,-0.05,-0.12,-0.03,-0.05,0.01,0.03,-0.01
25,"            Furniture and related products",0.00,-0.01,0.00,-0.01,0.00,0.01,0.01,0.00
26,"            Miscellaneous manufacturing",-0.01,0.01,0.00,-0.03,0.01,-0.01,-0.01,-0.01
27,"        Nondurable goods",0.35,-0.03,0.21,-0.16,-0.24,0.02,0.08,-0.19
28,"            Food and beverage and tobacco products",0.10,0.01,0.08,0.05,-0.11,0.03,0.02,0.00
29,"            Textile mills and textile product mills",0.01,0.01,0.01,-0.01,0.00,-0.01,0.00,0.00
30,"            Apparel and leather and allied products",-0.01,0.01,0.00,0.00,0.00,-0.01,0.01,0.01
31,"            Paper products",0.04,-0.01,0.01,0.00,0.00,0.01,0.01,-0.01
32,"            Printing and related support activities",0.00,-0.01,0.00,0.00,-0.01,0.02,-0.01,0.00
33,"            Petroleum and coal products",0.07,0.02,0.03,-0.06,-0.06,0.01,-0.03,-0.10
34,"            Chemical products",0.11,-0.04,0.06,-0.12,-0.08,-0.03,0.08,-0.08
35,"            Plastics and rubber products",0.03,-0.01,0.02,-0.01,0.02,0.00,0.00,-0.01
36,"    Wholesale trade",0.77,0.50,-0.25,-1.02,2.15,0.70,-0.50,-0.05
37,"    Retail trade",0.08,0.26,-0.03,0.13,1.45,0.30,-0.23,-0.05
38,"        Motor vehicle and parts dealers",0.04,0.04,-0.10,-0.07,0.11,0.35,0.04,0.07
39,"        Food and beverage stores",0.01,0.00,0.05,0.03,0.04,0.04,-0.04,0.01
40,"        General merchandise stores",-0.06,0.03,-0.04,-0.06,0.12,-0.05,0.02,-0.07
41,"        Other retail",0.09,0.19,0.07,0.23,1.19,-0.04,-0.25,-0.05
42,"    Transportation and warehousing",0.26,0.35,0.32,-0.79,0.37,0.83,-0.18,0.05
43,"        Air transportation",0.09,0.05,0.08,-0.44,0.18,0.26,-0.01,0.06
44,"        Rail transportation",-0.02,0.01,0.00,-0.02,0.00,0.02,-0.01,0.00
45,"        Water transportation",0.03,0.02,0.03,-0.14,-0.06,0.15,0.03,0.02
46,"        Truck transportation",0.11,0.14,0.04,0.01,0.05,0.19,-0.13,-0.08
47,"        Transit and ground passenger transportation",0.07,0.11,0.06,-0.20,0.06,0.14,0.09,0.12
48,"        Pipeline transportation",0.00,0.04,0.10,0.00,0.00,0.00,-0.01,-0.01
49,"        Other transportation and support activities",-0.02,0.02,0.00,0.05,0.16,0.06,-0.16,-0.04
50,"        Warehousing and storage",-0.01,-0.03,0.01,-0.04,-0.02,0.00,0.02,-0.03
51,"    Information",0.27,0.59,-0.23,0.15,0.70,0.50,0.04,0.17
52,"        Publishing industries, except internet (includes software)",0.14,0.03,-0.13,0.01,0.02,0.30,0.01,0.11
53,"        Motion picture and sound recording industries",-0.01,0.15,0.09,-0.07,0.03,0.02,0.08,-0.02
