"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B05013_001E","Estimate!!Total"
"B05013_001M","Margin of Error!!Total"
"B05013_002E","Estimate!!Total!!Male"
"B05013_002M","Margin of Error!!Total!!Male"
"B05013_003E","Estimate!!Total!!Male!!Under 5 years"
"B05013_003M","Margin of Error!!Total!!Male!!Under 5 years"
"B05013_004E","Estimate!!Total!!Male!!5 to 9 years"
"B05013_004M","Margin of Error!!Total!!Male!!5 to 9 years"
"B05013_005E","Estimate!!Total!!Male!!10 to 14 years"
"B05013_005M","Margin of Error!!Total!!Male!!10 to 14 years"
"B05013_006E","Estimate!!Total!!Male!!15 to 19 years"
"B05013_006M","Margin of Error!!Total!!Male!!15 to 19 years"
"B05013_007E","Estimate!!Total!!Male!!20 to 24 years"
"B05013_007M","Margin of Error!!Total!!Male!!20 to 24 years"
"B05013_008E","Estimate!!Total!!Male!!25 to 29 years"
"B05013_008M","Margin of Error!!Total!!Male!!25 to 29 years"
"B05013_009E","Estimate!!Total!!Male!!30 to 34 years"
"B05013_009M","Margin of Error!!Total!!Male!!30 to 34 years"
"B05013_010E","Estimate!!Total!!Male!!35 to 39 years"
"B05013_010M","Margin of Error!!Total!!Male!!35 to 39 years"
"B05013_011E","Estimate!!Total!!Male!!40 to 44 years"
"B05013_011M","Margin of Error!!Total!!Male!!40 to 44 years"
"B05013_012E","Estimate!!Total!!Male!!45 to 49 years"
"B05013_012M","Margin of Error!!Total!!Male!!45 to 49 years"
"B05013_013E","Estimate!!Total!!Male!!50 to 54 years"
"B05013_013M","Margin of Error!!Total!!Male!!50 to 54 years"
"B05013_014E","Estimate!!Total!!Male!!55 to 59 years"
"B05013_014M","Margin of Error!!Total!!Male!!55 to 59 years"
"B05013_015E","Estimate!!Total!!Male!!60 to 64 years"
"B05013_015M","Margin of Error!!Total!!Male!!60 to 64 years"
"B05013_016E","Estimate!!Total!!Male!!65 to 69 years"
"B05013_016M","Margin of Error!!Total!!Male!!65 to 69 years"
"B05013_017E","Estimate!!Total!!Male!!70 to 74 years"
"B05013_017M","Margin of Error!!Total!!Male!!70 to 74 years"
"B05013_018E","Estimate!!Total!!Male!!75 to 79 years"
"B05013_018M","Margin of Error!!Total!!Male!!75 to 79 years"
"B05013_019E","Estimate!!Total!!Male!!80 to 84 years"
"B05013_019M","Margin of Error!!Total!!Male!!80 to 84 years"
"B05013_020E","Estimate!!Total!!Male!!85 years and over"
"B05013_020M","Margin of Error!!Total!!Male!!85 years and over"
"B05013_021E","Estimate!!Total!!Female"
"B05013_021M","Margin of Error!!Total!!Female"
"B05013_022E","Estimate!!Total!!Female!!Under 5 years"
"B05013_022M","Margin of Error!!Total!!Female!!Under 5 years"
"B05013_023E","Estimate!!Total!!Female!!5 to 9 years"
"B05013_023M","Margin of Error!!Total!!Female!!5 to 9 years"
"B05013_024E","Estimate!!Total!!Female!!10 to 14 years"
"B05013_024M","Margin of Error!!Total!!Female!!10 to 14 years"
"B05013_025E","Estimate!!Total!!Female!!15 to 19 years"
"B05013_025M","Margin of Error!!Total!!Female!!15 to 19 years"
"B05013_026E","Estimate!!Total!!Female!!20 to 24 years"
"B05013_026M","Margin of Error!!Total!!Female!!20 to 24 years"
"B05013_027E","Estimate!!Total!!Female!!25 to 29 years"
"B05013_027M","Margin of Error!!Total!!Female!!25 to 29 years"
"B05013_028E","Estimate!!Total!!Female!!30 to 34 years"
"B05013_028M","Margin of Error!!Total!!Female!!30 to 34 years"
"B05013_029E","Estimate!!Total!!Female!!35 to 39 years"
"B05013_029M","Margin of Error!!Total!!Female!!35 to 39 years"
"B05013_030E","Estimate!!Total!!Female!!40 to 44 years"
"B05013_030M","Margin of Error!!Total!!Female!!40 to 44 years"
"B05013_031E","Estimate!!Total!!Female!!45 to 49 years"
"B05013_031M","Margin of Error!!Total!!Female!!45 to 49 years"
"B05013_032E","Estimate!!Total!!Female!!50 to 54 years"
"B05013_032M","Margin of Error!!Total!!Female!!50 to 54 years"
"B05013_033E","Estimate!!Total!!Female!!55 to 59 years"
"B05013_033M","Margin of Error!!Total!!Female!!55 to 59 years"
"B05013_034E","Estimate!!Total!!Female!!60 to 64 years"
"B05013_034M","Margin of Error!!Total!!Female!!60 to 64 years"
"B05013_035E","Estimate!!Total!!Female!!65 to 69 years"
"B05013_035M","Margin of Error!!Total!!Female!!65 to 69 years"
"B05013_036E","Estimate!!Total!!Female!!70 to 74 years"
"B05013_036M","Margin of Error!!Total!!Female!!70 to 74 years"
"B05013_037E","Estimate!!Total!!Female!!75 to 79 years"
"B05013_037M","Margin of Error!!Total!!Female!!75 to 79 years"
"B05013_038E","Estimate!!Total!!Female!!80 to 84 years"
"B05013_038M","Margin of Error!!Total!!Female!!80 to 84 years"
"B05013_039E","Estimate!!Total!!Female!!85 years and over"
"B05013_039M","Margin of Error!!Total!!Female!!85 years and over"
