"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","13,323,495","±96,901"
"    5 to 17 years:","2,725,466","±25,155"
"        Speak only English","197,901","±3,729"
"        Speak Spanish","1,912,177","±20,951"
"        Speak other Indo-European languages","195,615","±4,257"
"        Speak Asian and Pacific Island languages","315,559","±4,892"
"        Speak other languages","104,214","±3,843"
"    18 years and over:","10,598,029","±75,061"
"        Speak Spanish","6,531,620","±55,631"
"        Speak other Indo-European languages","1,427,343","±15,423"
"        Speak Asian and Pacific Island languages","2,233,148","±15,960"
"        Speak other languages","405,918","±8,057"
