"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Native!!Estimate","United States!!Native!!Margin of Error","United States!!Foreign born!!Estimate","United States!!Foreign born!!Margin of Error","United States!!Foreign born; Naturalized citizen!!Estimate","United States!!Foreign born; Naturalized citizen!!Margin of Error","United States!!Foreign born; Not a U.S. citizen!!Estimate","United States!!Foreign born; Not a U.S. citizen!!Margin of Error"
"Total population","321,004,407","*****","277,976,280","±123,808","43,028,127","±123,858","20,690,362","±32,310","22,337,765","±129,209"
"    SEX AND AGE","","","","","","","","","",""
"        Male","49.2%","±0.1","49.3%","±0.1","48.7%","±0.1","46.0%","±0.1","51.2%","±0.1"
"        Female","50.8%","±0.1","50.7%","±0.1","51.3%","±0.1","54.0%","±0.1","48.8%","±0.1"
"        Under 5 years","6.2%","±0.1","7.0%","±0.1","0.7%","±0.1","0.2%","±0.1","1.1%","±0.1"
"        5 to 17 years","16.7%","±0.1","18.5%","±0.1","5.2%","±0.1","3.0%","±0.1","7.3%","±0.1"
"        18 to 24 years","9.7%","±0.1","10.1%","±0.1","7.1%","±0.1","4.1%","±0.1","9.9%","±0.1"
"        25 to 44 years","26.4%","±0.1","24.4%","±0.1","39.2%","±0.1","29.4%","±0.1","48.3%","±0.1"
"        45 to 54 years","13.4%","±0.1","12.5%","±0.1","19.1%","±0.1","21.8%","±0.1","16.6%","±0.1"
"        55 to 64 years","12.7%","±0.1","12.5%","±0.1","13.9%","±0.1","18.8%","±0.1","9.4%","±0.1"
"        65 to 74 years","8.6%","±0.1","8.6%","±0.1","8.6%","±0.1","12.7%","±0.1","4.7%","±0.1"
"        75 to 84 years","4.4%","±0.1","4.4%","±0.1","4.5%","±0.1","7.1%","±0.1","2.1%","±0.1"
"        85 years and over","1.9%","±0.1","1.9%","±0.1","1.7%","±0.1","2.9%","±0.1","0.7%","±0.1"
"        Median age (years)","37.8","±0.1","36.0","±0.1","43.9","±0.2","51.1","±0.2","38.0","±0.2"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","",""
"        One race","96.9%","±0.1","96.7%","±0.1","97.8%","±0.1","97.7%","±0.1","97.9%","±0.1"
"            White","73.0%","±0.1","77.1%","±0.1","46.7%","±0.1","44.6%","±0.1","48.7%","±0.1"
"            Black or African American","12.7%","±0.1","13.2%","±0.1","8.9%","±0.1","10.5%","±0.1","7.4%","±0.1"
"            American Indian and Alaska Native","0.8%","±0.1","0.9%","±0.1","0.4%","±0.1","0.3%","±0.1","0.5%","±0.1"
"            Asian","5.4%","±0.1","2.1%","±0.1","26.5%","±0.1","32.2%","±0.1","21.3%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.2%","±0.1","0.2%","±0.1","0.3%","±0.1","0.2%","±0.1","0.3%","±0.1"
"            Some other race","4.8%","±0.1","3.3%","±0.1","14.9%","±0.1","9.8%","±0.1","19.7%","±0.1"
"        Two or more races","3.1%","±0.1","3.3%","±0.1","2.2%","±0.1","2.3%","±0.1","2.1%","±0.1"
"        Hispanic or Latino origin (of any race)","17.6%","±0.1","13.3%","±0.1","45.1%","±0.1","32.8%","±0.1","56.5%","±0.1"
"        White alone, not Hispanic or Latino","61.5%","±0.1","68.2%","±0.1","18.1%","±0.1","23.0%","±0.1","13.5%","±0.1"
"    HOUSEHOLD TYPE","","","","","","","","","",""
"        In married-couple family","58.6%","±0.2","57.9%","±0.2","63.1%","±0.2","66.2%","±0.2","60.1%","±0.2"
"        In other households","38.9%","±0.2","39.4%","±0.2","35.4%","±0.2","32.7%","±0.2","37.9%","±0.3"
"    Average  household size","2.63","±0.01","2.51","±0.01","3.34","±0.01","3.17","±0.01","3.55","±0.01"
"    Average family size","3.24","±0.01","3.12","±0.01","3.81","±0.01","3.68","±0.01","3.97","±0.01"
"MARITAL STATUS","","","","","","","","","",""
"    Population 15  years and over","259,992,659","±8,085","218,683,076","±127,024","41,309,583","±120,419","20,265,695","±31,415","21,043,888","±122,799"
"        Never married","33.1%","±0.1","34.7%","±0.1","24.6%","±0.1","17.1%","±0.1","31.7%","±0.2"
"        Now married, except separated","48.2%","±0.2","46.1%","±0.2","59.2%","±0.2","62.8%","±0.2","55.6%","±0.2"
"        Divorced or separated","12.9%","±0.1","13.2%","±0.1","11.0%","±0.1","12.8%","±0.1","9.2%","±0.1"
"        Widowed","5.8%","±0.1","5.9%","±0.1","5.3%","±0.1","7.3%","±0.1","3.4%","±0.1"
"SCHOOL ENROLLMENT","","","","","","","","","",""
"    Population 3 years and over enrolled in school","81,751,797","±80,348","76,101,033","±77,457","5,650,764","±18,682","2,036,471","±18,439","3,614,293","±19,518"
"        Nursery school, preschool","6.0%","±0.1","6.4%","±0.1","1.6%","±0.1","0.9%","±0.1","2.1%","±0.1"
"        Elementary school (grades K-8)","45.2%","±0.1","46.9%","±0.1","22.6%","±0.2","16.6%","±0.2","26.0%","±0.2"
"        High school (grades 9-12)","20.8%","±0.1","20.8%","±0.1","20.7%","±0.1","17.1%","±0.2","22.7%","±0.2"
"        College or graduate school","27.9%","±0.1","25.9%","±0.1","55.1%","±0.2","65.4%","±0.3","49.3%","±0.2"
"EDUCATIONAL ATTAINMENT","","","","","","","","","",""
"    Population 25 years and over","216,271,644","±15,647","178,829,069","±119,050","37,442,575","±105,182","19,175,554","±30,432","18,267,021","±105,263"
"        Less than high school graduate","12.7%","±0.1","9.3%","±0.1","29.0%","±0.1","20.0%","±0.1","38.5%","±0.1"
"        High school graduate (includes equivalency)","27.3%","±0.1","28.4%","±0.1","22.4%","±0.1","21.6%","±0.1","23.2%","±0.1"
"        Some college or associate's degree","29.1%","±0.1","31.2%","±0.1","18.9%","±0.1","23.3%","±0.1","14.3%","±0.1"
