"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Foreign born; Entered 2010 or later!!Estimate","United States!!Foreign born; Entered 2010 or later!!Margin of Error","United States!!Foreign born; Entered 2000 to 2009!!Estimate","United States!!Foreign born; Entered 2000 to 2009!!Margin of Error","United States!!Foreign born; Entered before 2000!!Estimate","United States!!Foreign born; Entered before 2000!!Margin of Error"
"Foreign-born population","43,539,499","±131,250","7,904,024","±47,211","11,671,318","±54,919","23,964,157","±51,971"
"    CITIZENSHIP","","","","","","","",""
"        Naturalized citizen","48.8%","±0.2","10.2%","±0.1","36.3%","±0.2","67.7%","±0.2"
"        Not a citizen","51.2%","±0.2","89.8%","±0.1","63.7%","±0.2","32.3%","±0.2"
"    WORLD REGION OF BIRTH OF FOREIGN BORN","","","","","","","",""
"        Foreign-born population excluding population born at sea","43,538,827","±131,253","7,903,748","±47,209","11,671,249","±54,916","23,963,830","±51,976"
"        Europe","11.0%","±0.1","8.7%","±0.1","7.8%","±0.1","13.3%","±0.1"
"        Asia","30.8%","±0.1","42.0%","±0.2","28.5%","±0.1","28.2%","±0.1"
"        Africa","4.9%","±0.1","8.3%","±0.1","6.5%","±0.1","3.1%","±0.1"
"        Oceania","0.6%","±0.1","0.9%","±0.1","0.6%","±0.1","0.5%","±0.1"
"        Latin America","50.8%","±0.1","38.2%","±0.2","55.3%","±0.1","52.8%","±0.1"
"        Northern America","1.9%","±0.1","2.0%","±0.1","1.2%","±0.1","2.2%","±0.1"
"    SEX AND AGE","","","","","","","",""
"        Male","48.6%","±0.1","49.5%","±0.1","48.6%","±0.1","48.3%","±0.1"
"        Female","51.4%","±0.1","50.5%","±0.1","51.4%","±0.1","51.7%","±0.1"
"        Under 5 years","0.7%","±0.1","3.7%","±0.1","(X)","(X)","(X)","(X)"
"        5 to 17 years","5.1%","±0.1","14.8%","±0.1","8.6%","±0.1","0.2%","±0.1"
"        18 to 24 years","7.0%","±0.1","15.9%","±0.1","10.2%","±0.1","2.4%","±0.1"
"        25 to 44 years","38.6%","±0.1","46.4%","±0.2","54.9%","±0.1","28.1%","±0.1"
"        45 to 54 years","19.2%","±0.1","8.7%","±0.1","14.5%","±0.1","24.9%","±0.1"
"        55 to 64 years","14.2%","±0.1","5.3%","±0.1","6.8%","±0.1","20.8%","±0.1"
"        65 to 74 years","8.8%","±0.1","3.5%","±0.1","3.2%","±0.1","13.3%","±0.1"
"        75 to 84 years","4.7%","±0.1","1.4%","±0.1","1.5%","±0.1","7.3%","±0.1"
"        85 years and over","1.8%","±0.1","0.3%","±0.1","0.4%","±0.1","2.9%","±0.1"
"        Median age (years)","44.3","±0.1","30.1","±0.1","36.1","±0.2","52.6","±0.1"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","",""
"        One race","97.7%","±0.1","97.2%","±0.1","97.9%","±0.1","97.8%","±0.1"
"            White","46.3%","±0.1","39.2%","±0.2","45.0%","±0.2","49.3%","±0.1"
"            Black or African American","9.1%","±0.1","11.3%","±0.1","10.0%","±0.1","7.9%","±0.1"
"            American Indian and Alaska Native","0.4%","±0.1","0.3%","±0.1","0.4%","±0.1","0.4%","±0.1"
"            Asian","26.8%","±0.1","35.2%","±0.2","25.1%","±0.1","24.8%","±0.1"
"            Native Hawaiian and Other Pacific Islander","0.3%","±0.1","0.3%","±0.1","0.3%","±0.1","0.2%","±0.1"
"            Some other race","14.9%","±0.1","10.9%","±0.2","17.0%","±0.1","15.2%","±0.1"
"        Two or more races","2.3%","±0.1","2.8%","±0.1","2.1%","±0.1","2.2%","±0.1"
"        Hispanic or Latino origin (of any race)","44.8%","±0.1","33.0%","±0.2","49.7%","±0.2","46.3%","±0.1"
"        White alone, not Hispanic or Latino","18.0%","±0.1","18.2%","±0.1","13.8%","±0.1","19.9%","±0.1"
"    HOUSEHOLD TYPE","","","","","","","",""
"        In married-couple family","63.2%","±0.2","60.4%","±0.3","63.9%","±0.3","63.9%","±0.2"
"        In other households","35.2%","±0.2","36.6%","±0.3","34.9%","±0.3","34.9%","±0.2"
"    Average  household size","3.31","±0.01","3.00","±0.01","3.59","±0.02","3.27","±0.01"
"    Average family size","3.79","±0.01","3.52","±0.02","3.94","±0.02","3.77","±0.01"
"MARITAL STATUS","","","","","","","",""
"    Population 15  years and over","41,803,203","±126,100","6,732,856","±41,767","11,107,425","±53,782","23,962,922","±52,013"
