"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Estimate","Gainesville CCD, Alachua County, Florida!!Margin of Error"
"Total:","26,266","±1,929"
"    Europe:","3,599","±669"
"        Northern Europe:","864","±246"
"            Denmark","0","±35"
"            Ireland","181","±95"
"            Norway","56","±54"
"            Sweden","11","±21"
"            United Kingdom (inc. Crown Dependencies):","558","±241"
"                United Kingdom, excluding England and Scotland","273","±187"
"                England","236","±135"
"                Scotland","49","±65"
"            Other Northern Europe","58","±86"
"        Western Europe:","962","±322"
"            Austria","0","±35"
"            Belgium","101","±124"
"            France","271","±132"
"            Germany","413","±218"
"            Netherlands","105","±123"
"            Switzerland","72","±75"
"            Other Western Europe","0","±35"
"        Southern Europe:","634","±272"
"            Greece","59","±51"
"            Italy","344","±204"
"            Portugal","0","±35"
"                Azores Islands","0","±35"
"            Spain","231","±152"
"            Other Southern Europe","0","±35"
"        Eastern Europe:","1,139","±468"
"            Albania","199","±308"
"            Belarus","0","±35"
"            Bosnia and Herzegovina","2","±4"
"            Bulgaria","43","±55"
"            Croatia","7","±11"
"            Czechoslovakia (includes Czech Republic and Slovakia)","4","±8"
"            Hungary","68","±80"
"            Latvia","25","±35"
"            Lithuania","0","±35"
"            Moldova","0","±35"
"            North Macedonia (Macedonia)","0","±35"
"            Poland","8","±19"
"            Romania","0","±35"
"            Russia","291","±200"
"            Serbia","71","±102"
"            Ukraine","239","±198"
"            Other Eastern Europe","182","±149"
"        Europe, n.e.c.","0","±35"
"    Asia:","10,912","±855"
"        Eastern Asia:","2,936","±539"
"            China:","2,119","±439"
"                China, excluding Hong Kong and Taiwan","1,878","±415"
"                Hong Kong","95","±106"
"                Taiwan","146","±109"
"            Japan","118","±78"
"            Korea","699","±307"
"            Other Eastern Asia","0","±35"
"        South Central Asia:","4,563","±763"
"            Afghanistan","0","±35"
"            Bangladesh","207","±150"
"            Bhutan","0","±35"
"            India","3,728","±681"
"            Iran","538","±469"
"            Kazakhstan","0","±35"
"            Nepal","14","±18"
"            Pakistan","76","±80"
"            Sri Lanka","0","±35"
"            Uzbekistan","0","±35"
"            Other South Central Asia","0","±35"
"        South Eastern Asia:","2,289","±478"
"            Burma (Myanmar)","33","±36"
"            Cambodia","0","±35"
"            Indonesia","178","±230"
"            Laos","30","±46"
"            Malaysia","78","±78"
"            Philippines","1,511","±477"
"            Singapore","30","±38"
"            Thailand","0","±35"
"            Vietnam","429","±259"
"            Other South Eastern Asia","0","±35"
"        Western Asia:","1,014","±410"
"            Armenia","0","±35"
"            Azerbaijan","12","±19"
"            Georgia","0","±35"
"            Iraq","36","±44"
"            Israel","80","±109"
"            Jordan","112","±79"
"            Kuwait","107","±140"
"            Lebanon","12","±17"
"            Saudi Arabia","252","±235"
"            Syria","0","±35"
"            Turkey","317","±280"
"            United Arab Emirates","5","±9"
"            Yemen","81","±131"
"            Other Western Asia","0","±35"
"        Asia, n.e.c.","110","±106"
"    Africa:","1,590","±720"
"        Eastern Africa:","654","±499"
"            Eritrea","0","±35"
"            Ethiopia","559","±489"
"            Kenya","86","±76"
"            Somalia","0","±35"
"            Tanzania","9","±19"
"            Uganda","0","±35"
"            Zimbabwe","0","±35"
"            Other Eastern Africa","0","±35"
"        Middle Africa:","341","±305"
"            Cameroon","77","±71"
"            Congo","7","±14"
"            Democratic Republic of Congo (Zaire)","75","±118"
"            Other Middle Africa","182","±268"
"        Northern Africa:","61","±50"
"            Algeria","0","±35"
"            Egypt","35","±37"
"            Morocco","8","±12"
"            Sudan","18","±29"
"            Other Northern Africa","0","±35"
"        Southern Africa:","174","±106"
"            South Africa","174","±106"
"            Other Southern Africa","0","±35"
"        Western Africa:","319","±338"
"            Cabo Verde","0","±35"
"            Ghana","15","±25"
"            Ivory Coast","0","±35"
"            Liberia","0","±35"
"            Nigeria","262","±328"
"            Senegal","0","±35"
"            Sierra Leone","0","±35"
"            Togo","0","±35"
"            Other Western Africa","42","±61"
"        Africa, n.e.c.","41","±41"
"    Oceania:","79","±56"
"        Australia and New Zealand Subregion:","58","±44"
"            Australia","20","±24"
"            Other Australian and New Zealand Subregion","38","±45"
"        Fiji","0","±35"
"        Marshall Islands","0","±35"
"        Micronesia","0","±35"
"        Oceania, n.e.c.","21","±32"
"    Americas:","10,086","±1,267"
"        Latin America:","9,283","±1,235"
"            Caribbean:","2,680","±627"
"                Bahamas","0","±35"
"                Barbados","0","±35"
"                Cuba","1,613","±505"
"                Dominica","0","±35"
"                Dominican Republic","148","±134"
"                Grenada","21","±33"
"                Haiti","368","±245"
"                Jamaica","305","±138"
"                St. Lucia","0","±35"
"                St. Vincent and the Grenadines","0","±35"
"                Trinidad and Tobago","40","±48"
"                West Indies","0","±35"
"                Other Caribbean","185","±248"
"            Central America:","1,600","±481"
"                Belize","29","±32"
"                Costa Rica","188","±134"
"                El Salvador","337","±258"
"                Guatemala","165","±134"
"                Honduras","181","±177"
"                Mexico","440","±236"
"                Nicaragua","170","±156"
"                Panama","90","±74"
"                Other Central America","0","±35"
"            South America:","5,003","±983"
"                Argentina","344","±165"
"                Bolivia","70","±65"
"                Brazil","1,413","±544"
"                Chile","223","±150"
"                Colombia","1,105","±411"
"                Ecuador","187","±137"
"                Guyana","50","±73"
"                Peru","183","±127"
"                Uruguay","20","±24"
"                Venezuela","1,382","±487"
"                Other South America","26","±45"
"        Northern America:","803","±328"
"            Canada","789","±327"
"            Other Northern America","14","±24"
