"Label (Grouping)","Gainesville CCD, Alachua County, Florida!!Total!!Estimate","Gainesville CCD, Alachua County, Florida!!Total!!Margin of Error","Gainesville CCD, Alachua County, Florida!!Percent!!Estimate","Gainesville CCD, Alachua County, Florida!!Percent!!Margin of Error","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Estimate","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Speak English only or speak English ""very well""!!Margin of Error","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Estimate","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Percent speak English only or speak English ""very well""!!Margin of Error","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Speak English  less than ""very well""!!Estimate","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Speak English  less than ""very well""!!Margin of Error","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Estimate","Gainesville CCD, Alachua County, Florida!!Percent of specified language speakers!!Percent speak English less than ""very well""!!Margin of Error"
"Population 5 years and over","190,930","±2,011","(X)","(X)","184,556","±2,124","96.7%","±0.4","6,374","±854","3.3%","±0.4"
"    Speak only English","154,341","±2,713","80.8%","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    Speak a language other than English","36,589","±2,086","19.2%","±1.1","30,215","±1,992","82.6%","±2.2","6,374","±854","17.4%","±2.2"
"    SPEAK A LANGUAGE OTHER THAN ENGLISH","","","","","","","","","","","",""
"        Spanish","16,741","±1,343","8.8%","±0.7","13,980","±1,241","83.5%","±3.3","2,761","±603","16.5%","±3.3"
"            5 to 17 years old","913","±338","0.5%","±0.2","702","±257","76.9%","±13.3","211","±161","23.1%","±13.3"
"            18 to 64 years old","14,268","±1,167","7.5%","±0.6","12,305","±1,165","86.2%","±3.6","1,963","±519","13.8%","±3.6"
"            65 years old and over","1,560","±327","0.8%","±0.2","973","±254","62.4%","±10.1","587","±202","37.6%","±10.1"
"        Other Indo-European languages","9,722","±1,327","5.1%","±0.7","8,184","±1,234","84.2%","±4.2","1,538","±437","15.8%","±4.2"
"            5 to 17 years old","859","±315","0.4%","±0.2","805","±308","93.7%","±6.7","54","±56","6.3%","±6.7"
"            18 to 64 years old","8,000","±1,117","4.2%","±0.6","6,733","±1,033","84.2%","±4.5","1,267","±389","15.8%","±4.5"
"            65 years old and over","863","±247","0.5%","±0.1","646","±232","74.9%","±12.5","217","±109","25.1%","±12.5"
"        Asian and Pacific Island languages","8,340","±860","4.4%","±0.5","6,334","±800","75.9%","±4.8","2,006","±433","24.1%","±4.8"
"            5 to 17 years old","1,026","±276","0.5%","±0.1","940","±269","91.6%","±6.4","86","±65","8.4%","±6.4"
"            18 to 64 years old","6,393","±705","3.3%","±0.4","4,885","±656","76.4%","±5.2","1,508","±361","23.6%","±5.2"
"            65 years old and over","921","±244","0.5%","±0.1","509","±244","55.3%","±20.5","412","±199","44.7%","±20.5"
"        Other languages","1,786","±578","0.9%","±0.3","1,717","±569","96.1%","±4.2","69","±74","3.9%","±4.2"
"            5 to 17 years old","220","±143","0.1%","±0.1","220","±143","100.0%","±21.0","0","±35","0.0%","±21.0"
"            18 to 64 years old","1,523","±465","0.8%","±0.2","1,475","±459","96.8%","±3.1","48","±46","3.2%","±3.1"
"            65 years old and over","43","±61","0.0%","±0.1","22","±32","51.2%","±51.2","21","±48","48.8%","±51.2"
"CITIZENS 18 YEARS AND OVER","","","","","","","","","","","",""
"    All citizens 18 years old and over","157,109","±2,028","(X)","(X)","153,335","±2,084","97.6%","±0.4","3,774","±643","2.4%","±0.4"
"        Speak only English","133,413","±2,325","84.9%","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Speak a language other than English","23,696","±1,626","15.1%","±1.0","19,922","±1,541","84.1%","±2.6","3,774","±643","15.9%","±2.6"
"            Spanish","13,274","±1,244","8.4%","±0.8","11,440","±1,167","86.2%","±3.2","1,834","±457","13.8%","±3.2"
"            Other languages","10,422","±1,007","6.6%","±0.6","8,482","±957","81.4%","±4.0","1,940","±441","18.6%","±4.0"
